player_name,team,opponent,prop_type,line,odds_type,our_probability,pp_implied_probability,edge,expected_value,ev_pct,individual_multiplier,confidence,multiplier_source,reasoning
Will Smith,SJ,UNK,shots,2.5,demon,59.7%,50.0%,+9.7%,0.19378378053719536,+19.4%,2.0,20%,fallback_assumption,"Shots model: 2.8 SOG (std=1.1, confidence=60%) | Distance: +0.3 from 2.5 line | Underdog (GS: 1.10x)"
Marco Rossi,MIN,UNK,shots,1.5,standard,68.9%,57.7%,+11.1%,0.19306428495720418,+19.3%,1.732,20%,fallback_assumption,"Extrapolated from 2.5 (19.9%), normal distribution (mean=1.9, sd=0.7)"
Bryan Rust,PIT,UNK,shots,1.5,goblin,84.3%,70.7%,+13.6%,0.19244715446140592,+19.2%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (50.5%), normal distribution (mean=2.5, sd=1.0)"
Dawson Mercer,NJ,UNK,shots,1.5,standard,68.8%,57.7%,+11.0%,0.19135668965793062,+19.1%,1.732,20%,fallback_assumption,"Extrapolated from 2.5 (19.8%), normal distribution (mean=1.9, sd=0.7)"
Matt Boldy,MIN,UNK,shots,3.5,demon,59.6%,50.0%,+9.6%,0.1913391513873428,+19.1%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (81.3%), normal distribution (mean=3.9, sd=1.6)"
Claude Giroux,OTT,UNK,points,0.5,demon,59.1%,50.0%,+9.1%,0.18266666666666653,+18.3%,2.0,20%,fallback_assumption,"Points model: 0.73 PPG (std=0.25, confidence=59%) | Distance: +0.23 from 0.5 line"
Alex Tuch,BUF,UNK,shots,2.5,demon,59.1%,50.0%,+9.1%,0.1816552063599881,+18.2%,2.0,20%,fallback_assumption,"Shots model: 2.8 SOG (std=1.1, confidence=59%) | Distance: +0.3 from 2.5 line | Favorite (GS: 1.03x)"
Anton Lundell,FLA,UNK,shots,1.5,goblin,83.5%,70.7%,+12.8%,0.18076977931934213,+18.1%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (48.3%), normal distribution (mean=2.5, sd=1.0)"
Linus Ullmark,OTT,UNK,goalie_saves,25.5,demon,59.0%,50.0%,+9.0%,0.18062230261880008,+18.1%,2.0,20%,fallback_assumption,"Saves model: 22.8 saves (SV%=0.862, std=6.0, confidence=80%) | Distance: -2.7 saves from 25.5 line"
Connor Bedard,CHI,UNK,shots,2.5,standard,68.1%,57.7%,+10.3%,0.17885083295409077,+17.9%,1.732,20%,fallback_assumption,"Shots model: 3.1 SOG (std=1.2, confidence=68%) | Distance: +0.6 from 2.5 line"
Dmitri Voronkov,CBJ,UNK,shots,2.5,demon,58.9%,50.0%,+8.9%,0.17856085435831326,+17.9%,2.0,20%,fallback_assumption,"Shots model: 2.7 SOG (std=1.1, confidence=59%) | Distance: +0.2 from 2.5 line | Favorite (GS: 1.13x)"
Matthew Knies,TOR,UNK,shots,2.5,demon,58.9%,50.0%,+8.9%,0.17723052305133224,+17.7%,2.0,20%,fallback_assumption,"Shots model: 2.7 SOG (std=1.1, confidence=59%) | Distance: +0.2 from 2.5 line | Favorite (GS: 1.08x)"
Jackson Blake,CAR,UNK,points,0.5,standard,67.9%,57.7%,+10.2%,0.17581184640000025,+17.6%,1.732,20%,fallback_assumption,"Points model: 0.95 PPG (std=0.28, confidence=68%) | Distance: +0.45 from 0.5 line | Favorite (GS: 1.13x)"
Jason Robertson,DAL,UNK,shots,2.5,goblin,83.2%,70.7%,+12.4%,0.17578961395402537,+17.6%,1.414,20%,fallback_assumption,"Shots model: 4.1 SOG (std=1.6, confidence=83%) | Distance: +1.6 from 2.5 line | Underdog (GS: 1.00x)"
Quinton Byfield,LA,UNK,points,0.5,standard,67.8%,57.7%,+10.1%,0.174296,+17.4%,1.732,20%,fallback_assumption,"Points model: 0.95 PPG (std=0.28, confidence=68%) | Distance: +0.45 from 0.5 line"
John Carlson,WSH,UNK,shots,1.5,goblin,83.0%,70.7%,+12.3%,0.1740535390924567,+17.4%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (47.0%), normal distribution (mean=2.4, sd=1.0)"
Kiefer Sherwood,VAN,UNK,points,0.5,demon,58.5%,50.0%,+8.5%,0.16999999999999993,+17.0%,2.0,20%,fallback_assumption,"Points model: 0.71 PPG (std=0.25, confidence=58%) | Distance: +0.21 from 0.5 line | Underdog (GS: 1.00x)"
Tage Thompson,BUF,UNK,shots,4.5,demon,58.4%,50.0%,+8.4%,0.16751206613378833,+16.8%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (89.0%), normal distribution (mean=4.9, sd=2.0)"
Sergei Bobrovsky,FLA,UNK,goalie_saves,24.5,demon,58.1%,50.0%,+8.1%,0.16230746128856266,+16.2%,2.0,20%,fallback_assumption,Interpolated between 23.5 (55.0%) and 25.5 (61.2%)
Martin Necas,COL,UNK,shots,1.5,goblin,82.0%,70.7%,+11.3%,0.15985085799770982,+16.0%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (44.5%), normal distribution (mean=2.4, sd=0.9)"
Wyatt Johnston,DAL,UNK,shots,2.5,standard,66.7%,57.7%,+9.0%,0.1556761469054324,+15.6%,1.732,20%,fallback_assumption,"Shots model: 3.0 SOG (std=1.2, confidence=67%) | Distance: +0.5 from 2.5 line | Underdog (GS: 1.00x)"
Nico Hischier,NJ,UNK,shots,1.5,goblin,81.4%,70.7%,+10.7%,0.15064727604255745,+15.1%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (42.8%), normal distribution (mean=2.3, sd=0.9)"
Jeremy Swayman,BOS,UNK,goalie_saves,29.5,demon,57.5%,50.0%,+7.5%,0.1492230393906251,+14.9%,2.0,20%,fallback_assumption,"Saves model: 27.1 saves (SV%=0.886, std=6.0, confidence=75%) | Distance: -2.4 saves from 29.5 line"
Matt Boldy,MIN,UNK,shots,2.5,goblin,81.3%,70.7%,+10.5%,0.1489154501307146,+14.9%,1.414,20%,fallback_assumption,"Shots model: 3.9 SOG (std=1.6, confidence=81%) | Distance: +1.4 from 2.5 line | Favorite (GS: 1.03x)"
Jordan Eberle,SEA,UNK,shots,1.5,goblin,81.1%,70.7%,+10.4%,0.1471048968507096,+14.7%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (42.2%), normal distribution (mean=2.3, sd=0.9)"
Drake Batherson,OTT,UNK,shots,1.5,goblin,80.9%,70.7%,+10.2%,0.14387383334920556,+14.4%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (41.7%), normal distribution (mean=2.3, sd=0.9)"
Jesper Bratt,NJ,UNK,points,0.5,goblin,80.6%,70.7%,+9.9%,0.14006963636363623,+14.0%,1.414,20%,fallback_assumption,"Points model: 1.21 PPG (std=0.36, confidence=81%) | Distance: +0.71 from 0.5 line"
David Pastrnak,BOS,UNK,points,1.5,demon,57.0%,50.0%,+7.0%,0.1399999999999999,+14.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (95.0%), exponential decay for +1.0 line (decay rate: 0.6)"
Kyle Connor,WPG,UNK,points,1.5,demon,57.0%,50.0%,+7.0%,0.1399999999999999,+14.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (95.0%), exponential decay for +1.0 line (decay rate: 0.6)"
Mark Scheifele,WPG,UNK,points,1.5,demon,57.0%,50.0%,+7.0%,0.1399999999999999,+14.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (95.0%), exponential decay for +1.0 line (decay rate: 0.6)"
Cale Makar,COL,UNK,points,1.5,demon,57.0%,50.0%,+7.0%,0.1399999999999999,+14.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (95.0%), exponential decay for +1.0 line (decay rate: 0.6)"
Macklin Celebrini,SJ,UNK,points,1.5,demon,57.0%,50.0%,+7.0%,0.1399999999999999,+14.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (95.0%), exponential decay for +1.0 line (decay rate: 0.6)"
Martin Necas,COL,UNK,points,1.5,demon,57.0%,50.0%,+7.0%,0.1399999999999999,+14.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (95.0%), exponential decay for +1.0 line (decay rate: 0.6)"
William Nylander,TOR,UNK,points,1.5,demon,57.0%,50.0%,+7.0%,0.1399999999999999,+14.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (95.0%), exponential decay for +1.0 line (decay rate: 0.6)"
