Parlay_ID,Legs,Leg_Number,Player,Prop_Type,Line,Odds_Type,Team,Opponent,Combined_Probability,Min_Payout_10pct_EV,Min_Payout_5pct_EV,Min_Payout_Breakeven,Estimated_Payout,Estimated_EV,Actual_Payout,Action
1,2,1,Anthony Cirelli,SHOTS,0.5,GOBLIN,TB,UNK,90.2%,1.22x,1.16x,1.11x,2.0x,+81.4%,,
1,2,2,Leo Carlsson,POINTS,0.5,GOBLIN,ANA,UNK,90.2%,1.22x,1.16x,1.11x,2.0x,+81.4%,,
2,2,1,Anthony Cirelli,SHOTS,0.5,GOBLIN,TB,UNK,90.2%,1.22x,1.16x,1.11x,2.0x,+81.4%,,
2,2,2,Macklin Celebrini,POINTS,0.5,GOBLIN,SJ,UNK,90.2%,1.22x,1.16x,1.11x,2.0x,+81.4%,,
3,2,1,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,88.2%,1.25x,1.19x,1.13x,2.0x,+77.3%,,
3,2,2,Macklin Celebrini,POINTS,0.5,GOBLIN,SJ,UNK,88.2%,1.25x,1.19x,1.13x,2.0x,+77.3%,,
4,2,1,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,88.2%,1.25x,1.19x,1.13x,2.0x,+77.3%,,
4,2,2,Leo Carlsson,POINTS,0.5,GOBLIN,ANA,UNK,88.2%,1.25x,1.19x,1.13x,2.0x,+77.3%,,
5,2,1,Anthony Cirelli,SHOTS,0.5,GOBLIN,TB,UNK,87.5%,1.26x,1.20x,1.14x,2.0x,+75.9%,,
5,2,2,Kirill Marchenko,SHOTS,1.5,GOBLIN,CBJ,UNK,87.5%,1.26x,1.20x,1.14x,2.0x,+75.9%,,
6,2,1,Anthony Cirelli,SHOTS,0.5,GOBLIN,TB,UNK,58.4%,1.88x,1.80x,1.71x,3.0x,+75.3%,,
6,2,2,Dmitry Orlov,POINTS,0.5,DEMON,SJ,UNK,58.4%,1.88x,1.80x,1.71x,3.0x,+75.3%,,
7,2,1,Charlie Coyle,POINTS,0.5,DEMON,CBJ,UNK,58.0%,1.90x,1.81x,1.72x,3.0x,+74.1%,,
7,2,2,Leo Carlsson,POINTS,0.5,GOBLIN,ANA,UNK,58.0%,1.90x,1.81x,1.72x,3.0x,+74.1%,,
8,2,1,Cutter Gauthier,SHOTS,2.5,GOBLIN,ANA,UNK,86.3%,1.27x,1.22x,1.16x,2.0x,+73.5%,,
8,2,2,Macklin Celebrini,POINTS,0.5,GOBLIN,SJ,UNK,86.3%,1.27x,1.22x,1.16x,2.0x,+73.5%,,
9,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,68.1%,1.62x,1.54x,1.47x,3.0x,+104.2%,,
9,3,2,Anthony Cirelli,SHOTS,0.5,GOBLIN,TB,UNK,68.1%,1.62x,1.54x,1.47x,3.0x,+104.2%,,
9,3,3,Leo Carlsson,POINTS,0.5,GOBLIN,ANA,UNK,68.1%,1.62x,1.54x,1.47x,3.0x,+104.2%,,
10,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,68.1%,1.62x,1.54x,1.47x,3.0x,+104.2%,,
10,3,2,Anthony Cirelli,SHOTS,0.5,GOBLIN,TB,UNK,68.1%,1.62x,1.54x,1.47x,3.0x,+104.2%,,
10,3,3,Macklin Celebrini,POINTS,0.5,GOBLIN,SJ,UNK,68.1%,1.62x,1.54x,1.47x,3.0x,+104.2%,,
11,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,66.5%,1.65x,1.58x,1.50x,3.0x,+99.6%,,
11,3,2,Anthony Cirelli,SHOTS,0.5,GOBLIN,TB,UNK,66.5%,1.65x,1.58x,1.50x,3.0x,+99.6%,,
11,3,3,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,66.5%,1.65x,1.58x,1.50x,3.0x,+99.6%,,
12,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,66.0%,1.67x,1.59x,1.51x,3.0x,+98.0%,,
12,3,2,Anthony Cirelli,SHOTS,0.5,GOBLIN,TB,UNK,66.0%,1.67x,1.59x,1.51x,3.0x,+98.0%,,
12,3,3,Kirill Marchenko,SHOTS,1.5,GOBLIN,CBJ,UNK,66.0%,1.67x,1.59x,1.51x,3.0x,+98.0%,,
13,4,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,41.2%,2.67x,2.55x,2.43x,7.5x,+209.1%,,
13,4,2,Anders Lee,POINTS,0.5,DEMON,NYI,UNK,41.2%,2.67x,2.55x,2.43x,7.5x,+209.1%,,
13,4,3,Anthony Cirelli,SHOTS,0.5,GOBLIN,TB,UNK,41.2%,2.67x,2.55x,2.43x,7.5x,+209.1%,,
13,4,4,Leo Carlsson,POINTS,0.5,GOBLIN,ANA,UNK,41.2%,2.67x,2.55x,2.43x,7.5x,+209.1%,,
14,4,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,41.2%,2.67x,2.55x,2.43x,7.5x,+209.1%,,
14,4,2,Anders Lee,POINTS,0.5,DEMON,NYI,UNK,41.2%,2.67x,2.55x,2.43x,7.5x,+209.1%,,
14,4,3,Anthony Cirelli,SHOTS,0.5,GOBLIN,TB,UNK,41.2%,2.67x,2.55x,2.43x,7.5x,+209.1%,,
14,4,4,Macklin Celebrini,POINTS,0.5,GOBLIN,SJ,UNK,41.2%,2.67x,2.55x,2.43x,7.5x,+209.1%,,
