Parlay_ID,Legs,Leg_Number,Player,Prop_Type,Line,Odds_Type,Team,Opponent,Combined_Probability,Min_Payout_10pct_EV,Min_Payout_5pct_EV,Min_Payout_Breakeven,Estimated_Payout,Estimated_EV,Actual_Payout,Action
1,2,1,Dylan Larkin,POINTS,0.5,GOBLIN,DET,UNK,59.9%,1.84x,1.75x,1.67x,3.0x,+79.6%,,
1,2,2,Lukas Dostal,GOALIE_SAVES,29.5,DEMON,ANA,UNK,59.9%,1.84x,1.75x,1.67x,3.0x,+79.6%,,
2,2,1,Dylan Larkin,POINTS,0.5,GOBLIN,DET,UNK,89.1%,1.23x,1.18x,1.12x,2.0x,+79.1%,,
2,2,2,Leo Carlsson,POINTS,0.5,GOBLIN,ANA,UNK,89.1%,1.23x,1.18x,1.12x,2.0x,+79.1%,,
3,2,1,Cutter Gauthier,SHOTS,2.5,GOBLIN,ANA,UNK,88.2%,1.25x,1.19x,1.13x,2.0x,+77.3%,,
3,2,2,Dylan Larkin,POINTS,0.5,GOBLIN,DET,UNK,88.2%,1.25x,1.19x,1.13x,2.0x,+77.3%,,
4,2,1,Emmitt Finnie,POINTS,0.5,DEMON,DET,UNK,57.9%,1.90x,1.81x,1.73x,3.0x,+73.8%,,
4,2,2,Leo Carlsson,POINTS,0.5,GOBLIN,ANA,UNK,57.9%,1.90x,1.81x,1.73x,3.0x,+73.8%,,
5,2,1,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,57.7%,1.91x,1.82x,1.73x,3.0x,+73.0%,,
5,2,2,Lukas Dostal,GOALIE_SAVES,29.5,DEMON,ANA,UNK,57.7%,1.91x,1.82x,1.73x,3.0x,+73.0%,,
6,2,1,Dylan Larkin,POINTS,0.5,GOBLIN,DET,UNK,87.1%,1.26x,1.21x,1.15x,2.0x,+75.0%,,
6,2,2,Leo Carlsson,SHOTS,1.5,GOBLIN,ANA,UNK,87.1%,1.26x,1.21x,1.15x,2.0x,+75.0%,,
7,2,1,Cutter Gauthier,SHOTS,2.5,GOBLIN,ANA,UNK,57.4%,1.92x,1.83x,1.74x,3.0x,+72.1%,,
7,2,2,Emmitt Finnie,POINTS,0.5,DEMON,DET,UNK,57.4%,1.92x,1.83x,1.74x,3.0x,+72.1%,,
8,2,1,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,86.9%,1.27x,1.21x,1.15x,2.0x,+74.7%,,
8,2,2,Dylan Larkin,POINTS,0.5,GOBLIN,DET,UNK,86.9%,1.27x,1.21x,1.15x,2.0x,+74.7%,,
9,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,68.3%,1.61x,1.54x,1.46x,3.0x,+104.9%,,
9,3,2,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,68.3%,1.61x,1.54x,1.46x,3.0x,+104.9%,,
9,3,3,Leo Carlsson,POINTS,0.5,GOBLIN,ANA,UNK,68.3%,1.61x,1.54x,1.46x,3.0x,+104.9%,,
10,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,67.6%,1.63x,1.55x,1.48x,3.0x,+102.9%,,
10,3,2,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,67.6%,1.63x,1.55x,1.48x,3.0x,+102.9%,,
10,3,3,Cutter Gauthier,SHOTS,2.5,GOBLIN,ANA,UNK,67.6%,1.63x,1.55x,1.48x,3.0x,+102.9%,,
11,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,67.0%,1.64x,1.57x,1.49x,3.0x,+101.1%,,
11,3,2,Cale Makar,SHOTS,1.5,GOBLIN,COL,UNK,67.0%,1.64x,1.57x,1.49x,3.0x,+101.1%,,
11,3,3,Leo Carlsson,POINTS,0.5,GOBLIN,ANA,UNK,67.0%,1.64x,1.57x,1.49x,3.0x,+101.1%,,
12,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,66.8%,1.65x,1.57x,1.50x,3.0x,+100.5%,,
12,3,2,Cutter Gauthier,SHOTS,2.5,GOBLIN,ANA,UNK,66.8%,1.65x,1.57x,1.50x,3.0x,+100.5%,,
12,3,3,Victor Olofsson,SHOTS,1.5,GOBLIN,COL,UNK,66.8%,1.65x,1.57x,1.50x,3.0x,+100.5%,,
13,4,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,39.8%,2.76x,2.64x,2.51x,7.5x,+198.4%,,
13,4,2,Aliaksei Protas,SHOTS,1.5,GOBLIN,WSH,UNK,39.8%,2.76x,2.64x,2.51x,7.5x,+198.4%,,
13,4,3,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,39.8%,2.76x,2.64x,2.51x,7.5x,+198.4%,,
13,4,4,Lukas Dostal,GOALIE_SAVES,29.5,DEMON,ANA,UNK,39.8%,2.76x,2.64x,2.51x,7.5x,+198.4%,,
14,4,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,59.2%,1.86x,1.77x,1.69x,5.0x,+196.2%,,
14,4,2,Aliaksei Protas,SHOTS,1.5,GOBLIN,WSH,UNK,59.2%,1.86x,1.77x,1.69x,5.0x,+196.2%,,
14,4,3,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,59.2%,1.86x,1.77x,1.69x,5.0x,+196.2%,,
14,4,4,Leo Carlsson,POINTS,0.5,GOBLIN,ANA,UNK,59.2%,1.86x,1.77x,1.69x,5.0x,+196.2%,,
