Parlay_ID,Legs,Leg_Number,Player,Prop_Type,Line,Odds_Type,Team,Opponent,Combined_Probability,Min_Payout_10pct_EV,Min_Payout_5pct_EV,Min_Payout_Breakeven,Estimated_Payout,Estimated_EV,Actual_Payout,Action
1,2,1,Adrian Kempe,SHOTS,1.5,GOBLIN,LA,UNK,67.3%,1.63x,1.56x,1.48x,3.0x,+102.0%,,
1,2,2,Charlie Coyle,POINTS,0.5,DEMON,CBJ,UNK,67.3%,1.63x,1.56x,1.48x,3.0x,+102.0%,,
2,2,1,Adrian Kempe,SHOTS,1.5,GOBLIN,LA,UNK,67.0%,1.64x,1.57x,1.49x,3.0x,+101.0%,,
2,2,2,Dmitry Orlov,POINTS,0.5,DEMON,SJ,UNK,67.0%,1.64x,1.57x,1.49x,3.0x,+101.0%,,
3,2,1,Adrian Kempe,SHOTS,1.5,GOBLIN,LA,UNK,79.5%,1.38x,1.32x,1.26x,2.5x,+98.8%,,
3,2,2,Dmitri Voronkov,POINTS,0.5,STANDARD,CBJ,UNK,79.5%,1.38x,1.32x,1.26x,2.5x,+98.8%,,
4,2,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,65.7%,1.67x,1.60x,1.52x,3.0x,+97.2%,,
4,2,2,Charlie Coyle,POINTS,0.5,DEMON,CBJ,UNK,65.7%,1.67x,1.60x,1.52x,3.0x,+97.2%,,
5,2,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,65.4%,1.68x,1.61x,1.53x,3.0x,+96.2%,,
5,2,2,Dmitry Orlov,POINTS,0.5,DEMON,SJ,UNK,65.4%,1.68x,1.61x,1.53x,3.0x,+96.2%,,
6,2,1,Alex Newhook,POINTS,0.5,DEMON,MTL,UNK,55.6%,1.98x,1.89x,1.80x,3.5x,+94.7%,,
6,2,2,Dmitri Voronkov,POINTS,0.5,STANDARD,CBJ,UNK,55.6%,1.98x,1.89x,1.80x,3.5x,+94.7%,,
7,2,1,Adrian Kempe,SHOTS,1.5,GOBLIN,LA,UNK,65.2%,1.69x,1.61x,1.53x,3.0x,+95.7%,,
7,2,2,Shane Pinto,POINTS,0.5,DEMON,OTT,UNK,65.2%,1.69x,1.61x,1.53x,3.0x,+95.7%,,
8,2,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,77.6%,1.42x,1.35x,1.29x,2.5x,+94.1%,,
8,2,2,Dmitri Voronkov,POINTS,0.5,STANDARD,CBJ,UNK,77.6%,1.42x,1.35x,1.29x,2.5x,+94.1%,,
9,3,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,50.6%,2.18x,2.08x,1.98x,5.0x,+152.8%,,
9,3,2,Alex Newhook,POINTS,0.5,DEMON,MTL,UNK,50.6%,2.18x,2.08x,1.98x,5.0x,+152.8%,,
9,3,3,Dmitri Voronkov,POINTS,0.5,STANDARD,CBJ,UNK,50.6%,2.18x,2.08x,1.98x,5.0x,+152.8%,,
10,3,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,57.4%,1.92x,1.83x,1.74x,4.3x,+148.3%,,
10,3,2,Alex Tuch,SHOTS,1.5,GOBLIN,BUF,UNK,57.4%,1.92x,1.83x,1.74x,4.3x,+148.3%,,
10,3,3,Charlie Coyle,POINTS,0.5,DEMON,CBJ,UNK,57.4%,1.92x,1.83x,1.74x,4.3x,+148.3%,,
11,3,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,67.7%,1.62x,1.55x,1.48x,3.7x,+148.6%,,
11,3,2,Alex Tuch,SHOTS,1.5,GOBLIN,BUF,UNK,67.7%,1.62x,1.55x,1.48x,3.7x,+148.6%,,
11,3,3,Dmitri Voronkov,POINTS,0.5,STANDARD,CBJ,UNK,67.7%,1.62x,1.55x,1.48x,3.7x,+148.6%,,
12,3,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,57.1%,1.93x,1.84x,1.75x,4.3x,+147.1%,,
12,3,2,Alex Tuch,SHOTS,1.5,GOBLIN,BUF,UNK,57.1%,1.93x,1.84x,1.75x,4.3x,+147.1%,,
12,3,3,Dmitry Orlov,POINTS,0.5,DEMON,SJ,UNK,57.1%,1.93x,1.84x,1.75x,4.3x,+147.1%,,
13,4,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,44.1%,2.49x,2.38x,2.27x,8.8x,+286.0%,,
13,4,2,Alex Newhook,POINTS,0.5,DEMON,MTL,UNK,44.1%,2.49x,2.38x,2.27x,8.8x,+286.0%,,
13,4,3,Alex Tuch,SHOTS,1.5,GOBLIN,BUF,UNK,44.1%,2.49x,2.38x,2.27x,8.8x,+286.0%,,
13,4,4,Dmitri Voronkov,POINTS,0.5,STANDARD,CBJ,UNK,44.1%,2.49x,2.38x,2.27x,8.8x,+286.0%,,
14,4,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,37.4%,2.94x,2.81x,2.68x,10.0x,+273.5%,,
14,4,2,Alex Newhook,POINTS,0.5,DEMON,MTL,UNK,37.4%,2.94x,2.81x,2.68x,10.0x,+273.5%,,
14,4,3,Alex Tuch,SHOTS,1.5,GOBLIN,BUF,UNK,37.4%,2.94x,2.81x,2.68x,10.0x,+273.5%,,
14,4,4,Charlie Coyle,POINTS,0.5,DEMON,CBJ,UNK,37.4%,2.94x,2.81x,2.68x,10.0x,+273.5%,,
