player_name,team,opponent,prop_type,line,odds_type,our_probability,pp_implied_probability,edge,expected_value,ev_pct,individual_multiplier,confidence,multiplier_source,reasoning
Jack Hughes,NJ,UNK,points,1.5,demon,85.0%,50.0%,+35.0%,0.7,+70.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (95.0%), -10% for +1.0 line"
Macklin Celebrini,SJ,UNK,points,1.5,demon,85.0%,50.0%,+35.0%,0.7,+70.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (95.0%), -10% for +1.0 line"
Dylan Larkin,DET,UNK,points,1.5,demon,85.0%,50.0%,+35.0%,0.7,+70.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (95.0%), -10% for +1.0 line"
Adrian Kempe,LA,UNK,points,1.5,demon,82.2%,50.0%,+32.2%,0.6432727272727274,+64.3%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (92.2%), -10% for +1.0 line"
William Eklund,SJ,UNK,shots,2.5,demon,76.3%,49.5%,+26.8%,0.5413097389296515,+54.1%,2.0207259421636903,70%,learned,2.9 SOG/G
Jesper Bratt,NJ,UNK,points,1.5,demon,75.5%,50.0%,+25.5%,0.5109999999999997,+51.1%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (85.5%), -10% for +1.0 line"
Jack Hughes,NJ,UNK,points,2.5,demon,75.0%,50.0%,+25.0%,0.5,+50.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (95.0%), -20% for +2.0 line"
Adrian Kempe,LA,UNK,points,2.5,demon,72.2%,50.0%,+22.2%,0.44327272727272726,+44.3%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (92.2%), -20% for +2.0 line"
William Eklund,SJ,UNK,points,1.5,demon,70.4%,50.0%,+20.4%,0.4075,+40.8%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (80.4%), -10% for +1.0 line"
Alex DeBrincat,DET,UNK,shots,3.5,demon,70.3%,50.0%,+20.3%,0.4066826390488225,+40.7%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (80.3%), -10% for +1.0 line"
Dmitry Orlov,SJ,UNK,points,0.5,demon,68.6%,50.0%,+18.6%,0.3728,+37.3%,2.0,20%,fallback_assumption,0.80 PPG
Macklin Celebrini,SJ,UNK,points,0.5,goblin,95.0%,69.3%,+25.7%,0.3712068893253613,+37.1%,1.4433756729740645,70%,learned,1.60 PPG
Dylan Larkin,DET,UNK,points,0.5,goblin,95.0%,69.3%,+25.7%,0.3712068893253613,+37.1%,1.4433756729740645,70%,learned,1.60 PPG
Adrian Kempe,LA,UNK,points,0.5,goblin,92.2%,69.3%,+22.9%,0.3302675066010061,+33.0%,1.4433756729740645,70%,learned,1.27 PPG
William Eklund,SJ,UNK,shots,3.5,demon,66.3%,50.0%,+16.3%,0.3255010160153591,+32.6%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (76.3%), -10% for +1.0 line"
Jesper Bratt,NJ,UNK,points,2.5,demon,65.5%,50.0%,+15.5%,0.3109999999999995,+31.1%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (85.5%), -20% for +2.0 line"
Adrian Kempe,LA,UNK,shots,3.5,demon,64.6%,50.0%,+14.6%,0.29257041688504803,+29.3%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (74.6%), -10% for +1.0 line"
Nico Hischier,NJ,UNK,points,1.5,demon,64.6%,50.0%,+14.6%,0.29249999999999976,+29.2%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (74.6%), -10% for +1.0 line"
Will Smith,SJ,UNK,points,0.5,standard,74.3%,57.7%,+16.6%,0.28756326907651397,+28.8%,1.7320508075688774,70%,learned,0.90 PPG
Will Smith,SJ,UNK,points,1.5,demon,64.3%,50.0%,+14.3%,0.28674999999999984,+28.7%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (74.3%), -10% for +1.0 line"
Macklin Celebrini,SJ,UNK,shots,3.5,demon,64.3%,50.0%,+14.3%,0.28523394541487623,+28.5%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (74.3%), -10% for +1.0 line"
