Parlay_ID,Legs,Leg_Number,Player,Prop_Type,Line,Odds_Type,Team,Opponent,Combined_Probability,Min_Payout_10pct_EV,Min_Payout_5pct_EV,Min_Payout_Breakeven,Estimated_Payout,Estimated_EV,Actual_Payout,Action
1,2,1,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,59.4%,1.85x,1.77x,1.68x,3.0x,+78.3%,,
1,2,2,Emmitt Finnie,POINTS,0.5,DEMON,DET,UNK,59.4%,1.85x,1.77x,1.68x,3.0x,+78.3%,,
2,2,1,Cale Makar,POINTS,0.5,GOBLIN,COL,UNK,59.4%,1.85x,1.77x,1.68x,3.0x,+78.1%,,
2,2,2,Emmitt Finnie,POINTS,0.5,DEMON,DET,UNK,59.4%,1.85x,1.77x,1.68x,3.0x,+78.1%,,
3,2,1,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,86.9%,1.27x,1.21x,1.15x,2.0x,+74.7%,,
3,2,2,Dylan Larkin,POINTS,0.5,GOBLIN,DET,UNK,86.9%,1.27x,1.21x,1.15x,2.0x,+74.7%,,
4,2,1,Cale Makar,POINTS,0.5,GOBLIN,COL,UNK,86.8%,1.27x,1.21x,1.15x,2.0x,+74.6%,,
4,2,2,Jack Eichel,POINTS,0.5,GOBLIN,VGK,UNK,86.8%,1.27x,1.21x,1.15x,2.0x,+74.6%,,
5,2,1,Cale Makar,SHOTS,1.5,GOBLIN,COL,UNK,58.3%,1.89x,1.80x,1.71x,3.0x,+75.0%,,
5,2,2,Emmitt Finnie,POINTS,0.5,DEMON,DET,UNK,58.3%,1.89x,1.80x,1.71x,3.0x,+75.0%,,
6,2,1,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,86.9%,1.27x,1.21x,1.15x,2.0x,+74.7%,,
6,2,2,Nathan MacKinnon,POINTS,0.5,GOBLIN,COL,UNK,86.9%,1.27x,1.21x,1.15x,2.0x,+74.7%,,
7,2,1,Cale Makar,POINTS,0.5,GOBLIN,COL,UNK,86.8%,1.27x,1.21x,1.15x,2.0x,+74.6%,,
7,2,2,Dylan Larkin,POINTS,0.5,GOBLIN,DET,UNK,86.8%,1.27x,1.21x,1.15x,2.0x,+74.6%,,
8,2,1,Anders Lee,POINTS,0.5,DEMON,NYI,UNK,57.4%,1.92x,1.83x,1.74x,3.0x,+72.1%,,
8,2,2,Nathan MacKinnon,POINTS,0.5,GOBLIN,COL,UNK,57.4%,1.92x,1.83x,1.74x,3.0x,+72.1%,,
9,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,69.2%,1.59x,1.52x,1.45x,3.0x,+107.6%,,
9,3,2,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,69.2%,1.59x,1.52x,1.45x,3.0x,+107.6%,,
9,3,3,Jack Eichel,POINTS,0.5,GOBLIN,VGK,UNK,69.2%,1.59x,1.52x,1.45x,3.0x,+107.6%,,
10,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,69.2%,1.59x,1.52x,1.45x,3.0x,+107.6%,,
10,3,2,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,69.2%,1.59x,1.52x,1.45x,3.0x,+107.6%,,
10,3,3,Nathan MacKinnon,POINTS,0.5,GOBLIN,COL,UNK,69.2%,1.59x,1.52x,1.45x,3.0x,+107.6%,,
11,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,68.3%,1.61x,1.54x,1.46x,3.0x,+104.9%,,
11,3,2,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,68.3%,1.61x,1.54x,1.46x,3.0x,+104.9%,,
11,3,3,Leo Carlsson,POINTS,0.5,GOBLIN,ANA,UNK,68.3%,1.61x,1.54x,1.46x,3.0x,+104.9%,,
12,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,54.7%,2.01x,1.92x,1.83x,3.7x,+100.8%,,
12,3,2,Artturi Lehkonen,POINTS,0.5,STANDARD,COL,UNK,54.7%,2.01x,1.92x,1.83x,3.7x,+100.8%,,
12,3,3,Jack Eichel,POINTS,0.5,GOBLIN,VGK,UNK,54.7%,2.01x,1.92x,1.83x,3.7x,+100.8%,,
13,4,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,39.6%,2.78x,2.65x,2.53x,7.5x,+197.0%,,
13,4,2,Aliaksei Protas,SHOTS,1.5,GOBLIN,WSH,UNK,39.6%,2.78x,2.65x,2.53x,7.5x,+197.0%,,
13,4,3,Anders Lee,POINTS,0.5,DEMON,NYI,UNK,39.6%,2.78x,2.65x,2.53x,7.5x,+197.0%,,
13,4,4,Jack Eichel,POINTS,0.5,GOBLIN,VGK,UNK,39.6%,2.78x,2.65x,2.53x,7.5x,+197.0%,,
14,4,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,39.6%,2.78x,2.65x,2.53x,7.5x,+197.0%,,
14,4,2,Aliaksei Protas,SHOTS,1.5,GOBLIN,WSH,UNK,39.6%,2.78x,2.65x,2.53x,7.5x,+197.0%,,
14,4,3,Anders Lee,POINTS,0.5,DEMON,NYI,UNK,39.6%,2.78x,2.65x,2.53x,7.5x,+197.0%,,
14,4,4,Nathan MacKinnon,POINTS,0.5,GOBLIN,COL,UNK,39.6%,2.78x,2.65x,2.53x,7.5x,+197.0%,,
