player_name,team,opponent,prop_type,line,odds_type,our_probability,pp_implied_probability,edge,expected_value,ev_pct,payout_multiplier,reasoning
Timo Meier,NJ,UNK,points,1.5,demon,59.3%,25.0%,+34.3%,1.3732000000000002,+137.3%,4.0,"Extrapolated from 0.5 (69.3%), -10% for +1.0 line"
Dylan Larkin,DET,UNK,shots,3.5,demon,58.1%,25.0%,+33.1%,1.3225192446976695,+132.3%,4.0,"Extrapolated from 2.5 (68.1%), -10% for +1.0 line"
Anthony Mantha,PIT,UNK,points,1.5,demon,57.3%,25.0%,+32.3%,1.2923636363636364,+129.2%,4.0,"Extrapolated from 0.5 (67.3%), -10% for +1.0 line"
Quinton Byfield,LA,UNK,shots,2.5,demon,56.7%,25.0%,+31.7%,1.267190338825194,+126.7%,4.0,2.4 SOG/G
Bryan Rust,PIT,UNK,points,1.5,demon,56.5%,25.0%,+31.5%,1.2591999999999999,+125.9%,4.0,"Extrapolated from 0.5 (66.5%), -10% for +1.0 line"
Jordan Kyrou,STL,UNK,points,1.5,demon,56.3%,25.0%,+31.3%,1.2515200000000002,+125.2%,4.0,"Extrapolated from 0.5 (66.3%), -10% for +1.0 line"
William Eklund,SJ,UNK,shots,4.5,demon,56.3%,25.0%,+31.3%,1.2510020320307182,+125.1%,4.0,"Extrapolated from 2.5 (76.3%), -20% for +2.0 line"
Will Smith,SJ,UNK,shots,2.5,demon,55.9%,25.0%,+30.9%,1.2341783680528424,+123.4%,4.0,2.2 SOG/G
Will Smith,SJ,UNK,points,0.5,standard,74.3%,33.3%,+41.0%,1.2301249999999997,+123.0%,3.0,0.90 PPG
Matt Boldy,MIN,UNK,shots,5.5,demon,55.5%,25.0%,+30.5%,1.2185398379834576,+121.9%,4.0,"Extrapolated from 2.5 (85.5%), -30% for +3.0 line"
Adrian Kempe,LA,UNK,shots,4.5,demon,54.6%,25.0%,+29.6%,1.1851408337700962,+118.5%,4.0,"Extrapolated from 2.5 (74.6%), -20% for +2.0 line"
Nico Hischier,NJ,UNK,points,2.5,demon,54.6%,25.0%,+29.6%,1.1849999999999996,+118.5%,4.0,"Extrapolated from 0.5 (74.6%), -20% for +2.0 line"
Kevin Fiala,LA,UNK,shots,2.5,standard,72.8%,33.3%,+39.4%,1.1826643038170328,+118.3%,3.0,2.9 SOG/G
Macklin Celebrini,SJ,UNK,shots,4.5,demon,54.3%,25.0%,+29.3%,1.1704678908297526,+117.0%,4.0,"Extrapolated from 2.5 (74.3%), -20% for +2.0 line"
Frank Nazar,CHI,UNK,points,0.5,standard,72.2%,33.3%,+38.9%,1.1674999999999995,+116.7%,3.0,1.10 PPG
Jack Hughes,NJ,UNK,shots,5.5,demon,54.0%,25.0%,+29.0%,1.1600605046822245,+116.0%,4.0,"Extrapolated from 2.5 (84.0%), -30% for +3.0 line"
Gabriel Vilardi,WPG,UNK,points,1.5,demon,53.6%,25.0%,+28.6%,1.1440000000000001,+114.4%,4.0,"Extrapolated from 0.5 (63.6%), -10% for +1.0 line"
Josh Morrissey,WPG,UNK,points,1.5,demon,53.6%,25.0%,+28.6%,1.1440000000000001,+114.4%,4.0,"Extrapolated from 0.5 (63.6%), -10% for +1.0 line"
Erik Karlsson,PIT,UNK,points,1.5,demon,53.6%,25.0%,+28.6%,1.143127272727273,+114.3%,4.0,"Extrapolated from 0.5 (63.6%), -10% for +1.0 line"
Marcus Johansson,MIN,UNK,points,1.5,demon,53.0%,25.0%,+28.0%,1.1195636363636368,+112.0%,4.0,"Extrapolated from 0.5 (63.0%), -10% for +1.0 line"
Kevin Fiala,LA,UNK,points,1.5,demon,53.0%,25.0%,+28.0%,1.1195636363636368,+112.0%,4.0,"Extrapolated from 0.5 (63.0%), -10% for +1.0 line"
Quinton Byfield,LA,UNK,points,1.5,demon,53.0%,25.0%,+28.0%,1.1195636363636368,+112.0%,4.0,"Extrapolated from 0.5 (63.0%), -10% for +1.0 line"
Emmitt Finnie,DET,UNK,points,1.5,demon,52.8%,25.0%,+27.8%,1.11328,+111.3%,4.0,"Extrapolated from 0.5 (62.8%), -10% for +1.0 line"
Kevin Fiala,LA,UNK,shots,4.5,demon,52.8%,25.0%,+27.8%,1.1102190717560436,+111.0%,4.0,"Extrapolated from 2.5 (72.8%), -20% for +2.0 line"
Connor Bedard,CHI,UNK,shots,3.5,demon,52.1%,25.0%,+27.1%,1.0823399627443928,+108.2%,4.0,"Extrapolated from 2.5 (62.1%), -10% for +1.0 line"
Dawson Mercer,NJ,UNK,points,0.5,standard,69.3%,33.3%,+36.0%,1.0799000000000003,+108.0%,3.0,0.90 PPG
Timo Meier,NJ,UNK,shots,3.5,demon,51.8%,25.0%,+26.8%,1.0711623015461904,+107.1%,4.0,"Extrapolated from 2.5 (61.8%), -10% for +1.0 line"
Mark Scheifele,WPG,UNK,shots,3.5,demon,51.6%,25.0%,+26.6%,1.0646454262302059,+106.5%,4.0,"Extrapolated from 2.5 (61.6%), -10% for +1.0 line"
Kyle Connor,WPG,UNK,shots,5.5,demon,51.4%,25.0%,+26.4%,1.0544081423523064,+105.4%,4.0,"Extrapolated from 2.5 (81.4%), -30% for +3.0 line"
Leon Draisaitl,EDM,UNK,shots,3.5,demon,50.9%,25.0%,+25.9%,1.0348187912279365,+103.5%,4.0,"Extrapolated from 2.5 (60.9%), -10% for +1.0 line"
Kirill Kaprizov,MIN,UNK,shots,5.5,demon,50.6%,25.0%,+25.6%,1.022026875560527,+102.2%,4.0,"Extrapolated from 2.5 (80.6%), -30% for +3.0 line"
Ryan Donato,CHI,UNK,points,1.5,demon,50.4%,25.0%,+25.4%,1.016,+101.6%,4.0,"Extrapolated from 0.5 (60.4%), -10% for +1.0 line"
Teuvo Teravainen,CHI,UNK,points,1.5,demon,50.4%,25.0%,+25.4%,1.016,+101.6%,4.0,"Extrapolated from 0.5 (60.4%), -10% for +1.0 line"
Alex DeBrincat,DET,UNK,shots,5.5,demon,50.3%,25.0%,+25.3%,1.0133652780976448,+101.3%,4.0,"Extrapolated from 2.5 (80.3%), -30% for +3.0 line"
