Player,Team,Opponent,Prop Type,Line,Probability (%),Expected Value,Confidence Tier,Model,Reasoning
Shayne Gostisbehere,CAR,NYI,POINTS,0.5,95.0,1.69,T1-ELITE,Statistical,1.40 PPG
Dylan Larkin,DET,LAK,POINTS,0.5,95.0,1.64,T1-ELITE,Statistical,1.60 PPG
Kirill Kaprizov,MIN,PIT,POINTS,0.5,95.0,1.55,T1-ELITE,Statistical,1.36 PPG
Drake Batherson,OTT,CGY,POINTS,0.5,95.0,1.64,T1-ELITE,Statistical,1.44 PPG
Jack Hughes,NJD,SJS,POINTS,0.5,95.0,1.53,T1-ELITE,Statistical,1.40 PPG
Macklin Celebrini,SJS,NJD,POINTS,0.5,95.0,1.93,T1-ELITE,Statistical,1.60 PPG
Mark Scheifele,WPG,CHI,POINTS,0.5,95.0,1.58,T1-ELITE,Statistical,1.50 PPG
Evgeni Malkin,PIT,MIN,POINTS,0.5,94.6,1.49,T1-ELITE,Statistical,1.45 PPG
David Pastrnak,BOS,BUF,POINTS,0.5,94.1,1.48,T1-ELITE,Statistical,1.31 PPG
Sebastian Aho,CAR,NYI,POINTS,0.5,93.8,1.48,T1-ELITE,Statistical,1.22 PPG
Seth Jarvis,CAR,NYI,POINTS,0.5,93.8,1.48,T1-ELITE,Statistical,1.22 PPG
Adrian Kempe,LAK,DET,POINTS,0.5,92.2,1.44,T1-ELITE,Statistical,1.27 PPG
Sidney Crosby,PIT,MIN,POINTS,0.5,90.0,1.40,T1-ELITE,Statistical,1.36 PPG
Tage Thompson,BUF,BOS,SHOTS,2.5,87.7,4.66,T1-ELITE,Statistical,4.5 SOG/G
Bo Horvat,NYI,CAR,POINTS,0.5,86.8,1.34,T1-ELITE,Statistical,1.22 PPG
Seth Jarvis,CAR,NYI,SHOTS,2.5,86.2,4.43,T1-ELITE,Statistical,3.7 SOG/G
Jason Robertson,DAL,TBL,SHOTS,2.5,85.9,4.38,T1-ELITE,Statistical,4.3 SOG/G
Jesper Bratt,NJD,SJS,POINTS,0.5,85.5,1.31,T1-ELITE,Statistical,1.20 PPG
Matt Boldy,MIN,PIT,SHOTS,2.5,85.5,4.33,T1-ELITE,Statistical,3.8 SOG/G
Jack Hughes,NJD,SJS,SHOTS,2.5,84.0,4.15,T1-ELITE,Statistical,3.8 SOG/G
Bo Horvat,NYI,CAR,SHOTS,2.5,83.8,4.13,T1-ELITE,Statistical,3.8 SOG/G
Nikita Kucherov,TBL,DAL,POINTS,0.5,83.0,1.26,T1-ELITE,Statistical,1.11 PPG
Kyle Connor,WPG,CHI,POINTS,0.5,83.0,1.26,T1-ELITE,Statistical,1.20 PPG
Matt Boldy,MIN,PIT,POINTS,0.5,81.9,1.24,T1-ELITE,Statistical,1.09 PPG
David Pastrnak,BOS,BUF,SHOTS,2.5,81.8,3.93,T1-ELITE,Statistical,3.5 SOG/G
Tim Stützle,OTT,CGY,POINTS,0.5,81.4,1.23,T1-ELITE,Statistical,1.08 PPG
Kyle Connor,WPG,CHI,SHOTS,2.5,81.4,3.89,T1-ELITE,Statistical,3.7 SOG/G
Kirill Kaprizov,MIN,PIT,SHOTS,2.5,80.6,3.81,T1-ELITE,Statistical,3.4 SOG/G
William Eklund,SJS,NJD,POINTS,0.5,80.4,1.21,T1-ELITE,Statistical,1.00 PPG
Alex DeBrincat,DET,LAK,SHOTS,2.5,80.3,3.80,T1-ELITE,Statistical,3.7 SOG/G
Jake Guentzel,TBL,DAL,SHOTS,2.5,79.3,3.71,T1-ELITE,Statistical,3.3 SOG/G
Tim Stützle,OTT,CGY,SHOTS,2.5,78.9,3.69,T1-ELITE,Statistical,3.2 SOG/G
Roope Hintz,DAL,TBL,SHOTS,2.5,77.6,3.59,T1-ELITE,Statistical,3.5 SOG/G
Connor Bedard,CHI,WPG,POINTS,0.5,77.0,1.14,T1-ELITE,Statistical,1.20 PPG
Marco Rossi,MIN,PIT,POINTS,0.5,76.7,1.13,T1-ELITE,Statistical,1.00 PPG
Nikita Kucherov,TBL,DAL,SHOTS,2.5,76.7,3.53,T1-ELITE,Statistical,3.1 SOG/G
William Eklund,SJS,NJD,SHOTS,2.5,76.3,3.50,T1-ELITE,Statistical,2.9 SOG/G
