Player,Team,Opponent,Prop Type,Line,Probability (%),Expected Value,Confidence Tier,Model,Reasoning
Justin Brazeau,PIT,MIN,POINTS,0.5,76.0,1.12,T1-ELITE,Statistical,1.09 PPG
Mikko Rantanen,DAL,TBL,POINTS,0.5,76.0,1.12,T1-ELITE,Statistical,1.09 PPG
Adrian Kempe,LAK,DET,SHOTS,2.5,74.6,3.40,T1-ELITE,Statistical,3.0 SOG/G
Nico Hischier,NJD,SJS,POINTS,0.5,74.6,1.09,T1-ELITE,Statistical,1.00 PPG
Will Smith,SJS,NJD,POINTS,0.5,74.3,1.09,T1-ELITE,Statistical,0.90 PPG
Macklin Celebrini,SJS,NJD,SHOTS,2.5,74.3,3.38,T1-ELITE,Statistical,2.8 SOG/G
Shane Pinto,OTT,CGY,SHOTS,2.5,72.9,3.31,T1-ELITE,Statistical,2.9 SOG/G
Kevin Fiala,LAK,DET,SHOTS,2.5,72.8,3.30,T1-ELITE,Statistical,2.9 SOG/G
Anders Lee,NYI,CAR,SHOTS,2.5,72.3,3.28,T1-ELITE,Statistical,3.0 SOG/G
Frank Nazar,CHI,WPG,POINTS,0.5,72.2,1.04,T1-ELITE,Statistical,1.10 PPG
Wyatt Johnston,DAL,TBL,SHOTS,2.5,72.1,3.26,T1-ELITE,Statistical,3.2 SOG/G
Shane Pinto,OTT,CGY,POINTS,0.5,72.0,1.04,T1-ELITE,Statistical,0.92 PPG
Jake Sanderson,OTT,CGY,POINTS,0.5,72.0,1.04,T1-ELITE,Statistical,0.92 PPG
Anthony Cirelli,TBL,DAL,POINTS,0.5,71.5,1.03,T1-ELITE,Statistical,0.91 PPG
Jake Guentzel,TBL,DAL,POINTS,0.5,71.5,1.03,T1-ELITE,Statistical,0.91 PPG
Alex Tuch,BUF,BOS,POINTS,0.5,71.3,1.03,T1-ELITE,Statistical,1.00 PPG
Lucas Raymond,DET,LAK,POINTS,0.5,71.3,1.03,T1-ELITE,Statistical,1.00 PPG
Alex DeBrincat,DET,LAK,POINTS,0.5,71.3,1.03,T1-ELITE,Statistical,1.00 PPG
Conor Garland,VAN,STL,POINTS,0.5,71.3,1.03,T1-ELITE,Statistical,1.00 PPG
Roope Hintz,DAL,TBL,POINTS,0.5,71.3,1.03,T1-ELITE,Statistical,1.00 PPG
Josh Doan,BUF,BOS,SHOTS,2.5,70.2,3.17,T1-ELITE,Statistical,3.1 SOG/G
