player_name,team,opponent,prop_type,line,odds_type,our_probability,pp_implied_probability,edge,expected_value,ev_pct,individual_multiplier,confidence,multiplier_source,reasoning
Justin Brazeau,PIT,UNK,points,0.5,demon,76.0%,43.3%,+32.7%,0.754305036126732,+75.4%,2.3094010767585034,70%,learned,1.09 PPG
Mark Scheifele,WPG,UNK,points,1.5,demon,85.0%,50.0%,+35.0%,0.7,+70.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (95.0%), -10% for +1.0 line"
Kirill Kaprizov,MIN,UNK,points,1.5,demon,85.0%,50.0%,+35.0%,0.7,+70.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (95.0%), -10% for +1.0 line"
Jack Hughes,NJ,UNK,points,1.5,demon,85.0%,50.0%,+35.0%,0.7,+70.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (95.0%), -10% for +1.0 line"
Macklin Celebrini,SJ,UNK,points,1.5,demon,85.0%,50.0%,+35.0%,0.7,+70.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (95.0%), -10% for +1.0 line"
Dylan Larkin,DET,UNK,points,1.5,demon,85.0%,50.0%,+35.0%,0.7,+70.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (95.0%), -10% for +1.0 line"
Evgeni Malkin,PIT,UNK,points,1.5,demon,84.6%,50.0%,+34.6%,0.6923636363636365,+69.2%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (94.6%), -10% for +1.0 line"
Adrian Kempe,LA,UNK,points,1.5,demon,82.2%,50.0%,+32.2%,0.6432727272727274,+64.3%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (92.2%), -10% for +1.0 line"
Sidney Crosby,PIT,UNK,points,1.5,demon,80.0%,50.0%,+30.0%,0.5990909090909089,+59.9%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (90.0%), -10% for +1.0 line"
William Eklund,SJ,UNK,shots,2.5,demon,76.3%,49.5%,+26.8%,0.5413097389296515,+54.1%,2.0207259421636903,70%,learned,2.9 SOG/G
Jesper Bratt,NJ,UNK,points,1.5,demon,75.5%,50.0%,+25.5%,0.5109999999999997,+51.1%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (85.5%), -10% for +1.0 line"
Evgeni Malkin,PIT,UNK,points,0.5,goblin,94.6%,63.0%,+31.6%,0.5022654004314064,+50.2%,1.5877132402714709,70%,learned,1.45 PPG
Mark Scheifele,WPG,UNK,points,2.5,demon,75.0%,50.0%,+25.0%,0.5,+50.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (95.0%), -20% for +2.0 line"
Kirill Kaprizov,MIN,UNK,points,2.5,demon,75.0%,50.0%,+25.0%,0.5,+50.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (95.0%), -20% for +2.0 line"
Jack Hughes,NJ,UNK,points,2.5,demon,75.0%,50.0%,+25.0%,0.5,+50.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (95.0%), -20% for +2.0 line"
Kyle Connor,WPG,UNK,points,1.5,demon,73.0%,50.0%,+23.0%,0.45999999999999996,+46.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (83.0%), -10% for +1.0 line"
Adrian Kempe,LA,UNK,points,2.5,demon,72.2%,50.0%,+22.2%,0.44327272727272726,+44.3%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (92.2%), -20% for +2.0 line"
Matt Boldy,MIN,UNK,points,1.5,demon,71.9%,50.0%,+21.9%,0.4370909090909092,+43.7%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (81.9%), -10% for +1.0 line"
Kyle Connor,WPG,UNK,shots,3.5,demon,71.4%,50.0%,+21.4%,0.42720407117615333,+42.7%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (81.4%), -10% for +1.0 line"
William Eklund,SJ,UNK,points,1.5,demon,70.4%,50.0%,+20.4%,0.4075,+40.8%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (80.4%), -10% for +1.0 line"
Alex DeBrincat,DET,UNK,shots,3.5,demon,70.3%,50.0%,+20.3%,0.4066826390488225,+40.7%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (80.3%), -10% for +1.0 line"
Sidney Crosby,PIT,UNK,points,2.5,demon,70.0%,50.0%,+20.0%,0.39909090909090894,+39.9%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (90.0%), -20% for +2.0 line"
Dmitry Orlov,SJ,UNK,points,0.5,demon,68.6%,50.0%,+18.6%,0.3728,+37.3%,2.0,20%,fallback_assumption,0.80 PPG
Macklin Celebrini,SJ,UNK,points,0.5,goblin,95.0%,69.3%,+25.7%,0.3712068893253613,+37.1%,1.4433756729740645,70%,learned,1.60 PPG
Dylan Larkin,DET,UNK,points,0.5,goblin,95.0%,69.3%,+25.7%,0.3712068893253613,+37.1%,1.4433756729740645,70%,learned,1.60 PPG
Anthony Mantha,PIT,UNK,points,0.5,demon,67.3%,50.0%,+17.3%,0.34618181818181815,+34.6%,2.0,20%,fallback_assumption,0.91 PPG
Connor Bedard,CHI,UNK,points,1.5,demon,67.0%,50.0%,+17.0%,0.33999999999999986,+34.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (77.0%), -10% for +1.0 line"
Marco Rossi,MIN,UNK,points,1.5,demon,66.7%,50.0%,+16.7%,0.3340000000000001,+33.4%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (76.7%), -10% for +1.0 line"
Adrian Kempe,LA,UNK,points,0.5,goblin,92.2%,69.3%,+22.9%,0.3302675066010061,+33.0%,1.4433756729740645,70%,learned,1.27 PPG
William Eklund,SJ,UNK,shots,3.5,demon,66.3%,50.0%,+16.3%,0.3255010160153591,+32.6%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (76.3%), -10% for +1.0 line"
Justin Brazeau,PIT,UNK,points,1.5,demon,66.0%,50.0%,+16.0%,0.31927272727272715,+31.9%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (76.0%), -10% for +1.0 line"
