Parlay_ID,Legs,Leg_Number,Player,Prop_Type,Line,Odds_Type,Team,Opponent,Combined_Probability,Min_Payout_10pct_EV,Min_Payout_5pct_EV,Min_Payout_Breakeven,Estimated_Payout,Estimated_EV,Actual_Payout,Action
1,2,1,Adrian Kempe,SHOTS,1.5,GOBLIN,LA,UNK,67.3%,1.63x,1.56x,1.48x,3.0x,+102.0%,,
1,2,2,Charlie Coyle,POINTS,0.5,DEMON,CBJ,UNK,67.3%,1.63x,1.56x,1.48x,3.0x,+102.0%,,
2,2,1,Adrian Kempe,SHOTS,1.5,GOBLIN,LA,UNK,67.0%,1.64x,1.57x,1.49x,3.0x,+101.0%,,
2,2,2,Dmitry Orlov,POINTS,0.5,DEMON,SJ,UNK,67.0%,1.64x,1.57x,1.49x,3.0x,+101.0%,,
3,2,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,65.7%,1.67x,1.60x,1.52x,3.0x,+97.2%,,
3,2,2,Charlie Coyle,POINTS,0.5,DEMON,CBJ,UNK,65.7%,1.67x,1.60x,1.52x,3.0x,+97.2%,,
4,2,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,65.4%,1.68x,1.61x,1.53x,3.0x,+96.2%,,
4,2,2,Dmitry Orlov,POINTS,0.5,DEMON,SJ,UNK,65.4%,1.68x,1.61x,1.53x,3.0x,+96.2%,,
5,2,1,Adrian Kempe,SHOTS,1.5,GOBLIN,LA,UNK,65.2%,1.69x,1.61x,1.53x,3.0x,+95.7%,,
5,2,2,Shane Pinto,POINTS,0.5,DEMON,OTT,UNK,65.2%,1.69x,1.61x,1.53x,3.0x,+95.7%,,
6,2,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,63.7%,1.73x,1.65x,1.57x,3.0x,+91.0%,,
6,2,2,Shane Pinto,POINTS,0.5,DEMON,OTT,UNK,63.7%,1.73x,1.65x,1.57x,3.0x,+91.0%,,
7,2,1,Alex Tuch,SHOTS,1.5,GOBLIN,BUF,UNK,63.1%,1.74x,1.66x,1.58x,3.0x,+89.3%,,
7,2,2,Charlie Coyle,POINTS,0.5,DEMON,CBJ,UNK,63.1%,1.74x,1.66x,1.58x,3.0x,+89.3%,,
8,2,1,Alex Newhook,POINTS,0.5,DEMON,MTL,UNK,61.9%,1.78x,1.70x,1.62x,3.0x,+85.6%,,
8,2,2,Cale Makar,POINTS,0.5,GOBLIN,COL,UNK,61.9%,1.78x,1.70x,1.62x,3.0x,+85.6%,,
9,3,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,57.4%,1.92x,1.83x,1.74x,4.3x,+148.3%,,
9,3,2,Alex Tuch,SHOTS,1.5,GOBLIN,BUF,UNK,57.4%,1.92x,1.83x,1.74x,4.3x,+148.3%,,
9,3,3,Charlie Coyle,POINTS,0.5,DEMON,CBJ,UNK,57.4%,1.92x,1.83x,1.74x,4.3x,+148.3%,,
10,3,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,57.1%,1.93x,1.84x,1.75x,4.3x,+147.1%,,
10,3,2,Alex Tuch,SHOTS,1.5,GOBLIN,BUF,UNK,57.1%,1.93x,1.84x,1.75x,4.3x,+147.1%,,
10,3,3,Dmitry Orlov,POINTS,0.5,DEMON,SJ,UNK,57.1%,1.93x,1.84x,1.75x,4.3x,+147.1%,,
11,3,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,56.2%,1.96x,1.87x,1.78x,4.3x,+143.5%,,
11,3,2,Alex Newhook,POINTS,0.5,DEMON,MTL,UNK,56.2%,1.96x,1.87x,1.78x,4.3x,+143.5%,,
11,3,3,Dmitry Orlov,SHOTS,0.5,GOBLIN,SJ,UNK,56.2%,1.96x,1.87x,1.78x,4.3x,+143.5%,,
12,3,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,56.2%,1.96x,1.87x,1.78x,4.3x,+143.5%,,
12,3,2,Alex Newhook,POINTS,0.5,DEMON,MTL,UNK,56.2%,1.96x,1.87x,1.78x,4.3x,+143.5%,,
12,3,3,Drake Batherson,POINTS,0.5,GOBLIN,OTT,UNK,56.2%,1.96x,1.87x,1.78x,4.3x,+143.5%,,
13,4,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,37.4%,2.94x,2.81x,2.68x,10.0x,+273.5%,,
13,4,2,Alex Newhook,POINTS,0.5,DEMON,MTL,UNK,37.4%,2.94x,2.81x,2.68x,10.0x,+273.5%,,
13,4,3,Alex Tuch,SHOTS,1.5,GOBLIN,BUF,UNK,37.4%,2.94x,2.81x,2.68x,10.0x,+273.5%,,
13,4,4,Charlie Coyle,POINTS,0.5,DEMON,CBJ,UNK,37.4%,2.94x,2.81x,2.68x,10.0x,+273.5%,,
14,4,1,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,37.2%,2.96x,2.83x,2.69x,10.0x,+271.6%,,
14,4,2,Alex Newhook,POINTS,0.5,DEMON,MTL,UNK,37.2%,2.96x,2.83x,2.69x,10.0x,+271.6%,,
14,4,3,Alex Tuch,SHOTS,1.5,GOBLIN,BUF,UNK,37.2%,2.96x,2.83x,2.69x,10.0x,+271.6%,,
14,4,4,Dmitry Orlov,POINTS,0.5,DEMON,SJ,UNK,37.2%,2.96x,2.83x,2.69x,10.0x,+271.6%,,
