Player,Team,Opponent,Prop Type,Line,Probability (%),Expected Value,Confidence Tier,Model,Reasoning
David Pastrnak,BOS,NYI,POINTS,0.5,0.9,1.51,T1-ELITE,Statistical,1.25 PPG
Mark Stone,VGK,CAR,POINTS,0.5,0.9,2.22,T1-ELITE,Statistical,2.17 PPG
Jack Eichel,VGK,CAR,POINTS,0.5,0.9,1.95,T1-ELITE,Statistical,1.90 PPG
Shayne Gostisbehere,CAR,VGK,POINTS,0.5,0.9,1.59,T1-ELITE,Statistical,1.40 PPG
Kirill Kaprizov,MIN,WPG,POINTS,0.5,0.9,1.59,T1-ELITE,Statistical,1.40 PPG
Macklin Celebrini,SJS,LAK,POINTS,0.5,0.9,2.01,T1-ELITE,Statistical,1.67 PPG
Dylan Larkin,DET,STL,POINTS,0.5,0.9,1.58,T1-ELITE,Statistical,1.44 PPG
William Nylander,TOR,CGY,POINTS,0.5,0.9,1.89,T1-ELITE,Statistical,1.67 PPG
Mark Scheifele,WPG,MIN,POINTS,0.5,0.9,1.48,T1-ELITE,Statistical,1.44 PPG
Matthew Knies,TOR,CGY,POINTS,0.5,0.9,1.47,T1-ELITE,Statistical,1.30 PPG
John Tavares,TOR,CGY,POINTS,0.5,0.9,1.47,T1-ELITE,Statistical,1.30 PPG
Nathan MacKinnon,COL,NJD,POINTS,0.5,0.9,1.47,T1-ELITE,Statistical,1.40 PPG
Drake Batherson,OTT,CHI,POINTS,0.5,0.9,1.47,T1-ELITE,Statistical,1.43 PPG
Adrian Kempe,LAK,SJS,POINTS,0.5,0.9,1.42,T1-ELITE,Statistical,1.30 PPG
Seth Jarvis,CAR,VGK,POINTS,0.5,0.9,1.39,T1-ELITE,Statistical,1.22 PPG
Sebastian Aho,CAR,VGK,POINTS,0.5,0.9,1.39,T1-ELITE,Statistical,1.22 PPG
Evgeni Malkin,PIT,PHI,POINTS,0.5,0.9,1.38,T1-ELITE,Statistical,1.45 PPG
Tage Thompson,BUF,CBJ,SHOTS,2.5,0.9,4.88,T1-ELITE,Statistical,4.3 SOG/G
Auston Matthews,TOR,CGY,SHOTS,2.5,0.9,4.65,T1-ELITE,Statistical,4.1 SOG/G
Nathan MacKinnon,COL,NJD,SHOTS,2.5,0.9,4.62,T1-ELITE,Statistical,4.4 SOG/G
Jason Robertson,DAL,WSH,SHOTS,2.5,0.9,4.55,T1-ELITE,Statistical,4.3 SOG/G
Matt Boldy,MIN,WPG,SHOTS,2.5,0.9,4.54,T1-ELITE,Statistical,4.0 SOG/G
Jack Eichel,VGK,CAR,SHOTS,2.5,0.9,4.51,T1-ELITE,Statistical,4.4 SOG/G
Bo Horvat,NYI,BOS,POINTS,0.5,0.9,1.34,T1-ELITE,Statistical,1.22 PPG
Kirill Marchenko,CBJ,BUF,SHOTS,2.5,0.9,4.33,T1-ELITE,Statistical,4.2 SOG/G
Sidney Crosby,PIT,PHI,POINTS,0.5,0.8,1.30,T1-ELITE,Statistical,1.36 PPG
Mikko Rantanen,DAL,WSH,POINTS,0.5,0.8,1.28,T1-ELITE,Statistical,1.22 PPG
Seth Jarvis,CAR,VGK,SHOTS,2.5,0.8,4.16,T1-ELITE,Statistical,3.7 SOG/G
Bo Horvat,NYI,BOS,SHOTS,2.5,0.8,4.13,T1-ELITE,Statistical,3.8 SOG/G
Alex DeBrincat,DET,STL,SHOTS,2.5,0.8,4.13,T1-ELITE,Statistical,3.8 SOG/G
David Pastrnak,BOS,NYI,SHOTS,2.5,0.8,4.13,T1-ELITE,Statistical,3.4 SOG/G
Jack Hughes,NJD,COL,POINTS,0.5,0.8,1.27,T1-ELITE,Statistical,1.33 PPG
Martin Necas,COL,NJD,POINTS,0.5,0.8,1.26,T1-ELITE,Statistical,1.20 PPG
Connor McDavid,EDM,Utah Mammoth,POINTS,0.5,0.8,1.26,T1-ELITE,Statistical,1.20 PPG
Kyle Connor,WPG,MIN,POINTS,0.5,0.8,1.25,T1-ELITE,Statistical,1.22 PPG
Brad Marchand,FLA,ANA,POINTS,0.5,0.8,1.25,T1-ELITE,Statistical,1.10 PPG
Matt Boldy,MIN,WPG,POINTS,0.5,0.8,1.25,T1-ELITE,Statistical,1.10 PPG
Nick Suzuki,MTL,SEA,POINTS,0.5,0.8,1.23,T1-ELITE,Statistical,1.30 PPG
Mitch Marner,VGK,CAR,POINTS,0.5,0.8,1.23,T1-ELITE,Statistical,1.20 PPG
Brad Marchand,FLA,ANA,SHOTS,2.5,0.8,3.86,T1-ELITE,Statistical,3.4 SOG/G
Kirill Kaprizov,MIN,WPG,SHOTS,2.5,0.8,3.86,T1-ELITE,Statistical,3.4 SOG/G
Jack Hughes,NJD,COL,SHOTS,2.5,0.8,3.80,T1-ELITE,Statistical,4.0 SOG/G
William Eklund,SJS,LAK,POINTS,0.5,0.8,1.21,T1-ELITE,Statistical,1.00 PPG
Kyle Connor,WPG,MIN,SHOTS,2.5,0.8,3.76,T1-ELITE,Statistical,3.7 SOG/G
Roope Hintz,DAL,WSH,SHOTS,2.5,0.8,3.68,T1-ELITE,Statistical,3.5 SOG/G
Wyatt Johnston,DAL,WSH,POINTS,0.5,0.8,1.17,T1-ELITE,Statistical,1.11 PPG
Jesper Bratt,NJD,COL,POINTS,0.5,0.8,1.16,T1-ELITE,Statistical,1.22 PPG
Tom Wilson,WSH,DAL,POINTS,0.5,0.8,1.16,T1-ELITE,Statistical,1.22 PPG
Artturi Lehkonen,COL,NJD,POINTS,0.5,0.8,1.16,T1-ELITE,Statistical,1.10 PPG
Cale Makar,COL,NJD,POINTS,0.5,0.8,1.16,T1-ELITE,Statistical,1.10 PPG
Ryan Nugent-Hopkins,EDM,Utah Mammoth,POINTS,0.5,0.8,1.16,T1-ELITE,Statistical,1.10 PPG
Leon Draisaitl,EDM,Utah Mammoth,POINTS,0.5,0.8,1.16,T1-ELITE,Statistical,1.10 PPG
Troy Terry,ANA,FLA,POINTS,0.5,0.8,1.15,T1-ELITE,Statistical,1.12 PPG
Leo Carlsson,ANA,FLA,POINTS,0.5,0.8,1.15,T1-ELITE,Statistical,1.12 PPG
Jake Guentzel,TBL,NSH,SHOTS,2.5,0.8,3.59,T1-ELITE,Statistical,3.8 SOG/G
Frank Nazar,CHI,OTT,POINTS,0.5,0.8,1.13,T1-ELITE,Statistical,1.00 PPG
Wyatt Johnston,DAL,WSH,SHOTS,2.5,0.8,3.50,T1-ELITE,Statistical,3.3 SOG/G
Adrian Kempe,LAK,SJS,SHOTS,2.5,0.8,3.50,T1-ELITE,Statistical,3.2 SOG/G
William Eklund,SJS,LAK,SHOTS,2.5,0.8,3.49,T1-ELITE,Statistical,2.9 SOG/G
Pavel Dorofeyev,VGK,CAR,SHOTS,2.5,0.7,3.39,T1-ELITE,Statistical,3.3 SOG/G
Nikita Kucherov,TBL,NSH,POINTS,0.5,0.7,1.09,T1-ELITE,Statistical,1.14 PPG
Dmitry Orlov,SJS,LAK,POINTS,0.5,0.7,1.07,T1-ELITE,Statistical,0.89 PPG
Will Smith,SJS,LAK,POINTS,0.5,0.7,1.07,T1-ELITE,Statistical,0.89 PPG
Jake Neighbours,STL,DET,POINTS,0.5,0.7,1.06,T1-ELITE,Statistical,0.88 PPG
Dylan Strome,WSH,DAL,POINTS,0.5,0.7,1.06,T1-ELITE,Statistical,1.11 PPG
