Player,Team,Opponent,Prop Type,Line,Probability (%),Expected Value,Confidence Tier,Model,Reasoning
Jake Guentzel,TBL,NSH,POINTS,0.5,0.7,1.06,T1-ELITE,Statistical,1.11 PPG
Jason Robertson,DAL,WSH,POINTS,0.5,0.7,1.05,T1-ELITE,Statistical,1.00 PPG
Roope Hintz,DAL,WSH,POINTS,0.5,0.7,1.05,T1-ELITE,Statistical,1.00 PPG
Sean Couturier,PHI,PIT,POINTS,0.5,0.7,1.05,T1-ELITE,Statistical,1.00 PPG
Trevor Zegras,PHI,PIT,POINTS,0.5,0.7,1.05,T1-ELITE,Statistical,1.00 PPG
Shane Pinto,OTT,CHI,SHOTS,2.5,0.7,3.28,T1-ELITE,Statistical,3.2 SOG/G
Anders Lee,NYI,BOS,SHOTS,2.5,0.7,3.28,T1-ELITE,Statistical,3.0 SOG/G
Kevin Fiala,LAK,SJS,SHOTS,2.5,0.7,3.28,T1-ELITE,Statistical,3.0 SOG/G
Dylan Larkin,DET,STL,SHOTS,2.5,0.7,3.28,T1-ELITE,Statistical,3.0 SOG/G
Valeri Nichushkin,COL,NJD,SHOTS,2.5,0.7,3.26,T1-ELITE,Statistical,3.1 SOG/G
Justin Brazeau,PIT,PHI,POINTS,0.5,0.7,1.04,T1-ELITE,Statistical,1.09 PPG
Mark Stone,VGK,CAR,SHOTS,2.5,0.7,3.25,T1-ELITE,Statistical,3.2 SOG/G
Kirill Marchenko,CBJ,BUF,POINTS,0.5,0.7,1.03,T1-ELITE,Statistical,1.00 PPG
Dmitri Voronkov,CBJ,BUF,POINTS,0.5,0.7,1.03,T1-ELITE,Statistical,1.00 PPG
Pavel Dorofeyev,VGK,CAR,POINTS,0.5,0.7,1.03,T1-ELITE,Statistical,1.00 PPG
Ivan Barbashev,VGK,CAR,POINTS,0.5,0.7,1.03,T1-ELITE,Statistical,1.00 PPG
Shane Pinto,OTT,CHI,POINTS,0.5,0.7,1.03,T1-ELITE,Statistical,1.00 PPG
Tim Stützle,OTT,CHI,POINTS,0.5,0.7,1.03,T1-ELITE,Statistical,1.00 PPG
Dylan Cozens,OTT,CHI,POINTS,0.5,0.7,1.03,T1-ELITE,Statistical,1.00 PPG
Mikael Granlund,ANA,FLA,POINTS,0.5,0.7,1.03,T1-ELITE,Statistical,1.00 PPG
Macklin Celebrini,SJS,LAK,SHOTS,2.5,0.7,3.22,T1-ELITE,Statistical,2.7 SOG/G
Alex Tuch,BUF,CBJ,POINTS,0.5,0.7,1.02,T1-ELITE,Statistical,0.90 PPG
Connor Bedard,CHI,OTT,POINTS,0.5,0.7,1.01,T1-ELITE,Statistical,0.89 PPG
Teuvo Teravainen,CHI,OTT,POINTS,0.5,0.7,1.01,T1-ELITE,Statistical,0.89 PPG
Marco Rossi,MIN,WPG,POINTS,0.5,0.7,1.01,T1-ELITE,Statistical,0.89 PPG
Tim Stützle,OTT,CHI,SHOTS,2.5,0.7,3.18,T1-ELITE,Statistical,3.1 SOG/G
Pavel Zacha,BOS,NYI,POINTS,0.5,0.7,1.01,T1-ELITE,Statistical,0.83 PPG
Morgan Geekie,BOS,NYI,POINTS,0.5,0.7,1.01,T1-ELITE,Statistical,0.83 PPG
