player_name,team,opponent,prop_type,line,odds_type,our_probability,pp_implied_probability,edge,expected_value,ev_pct,individual_multiplier,confidence,multiplier_source,reasoning
Anders Lee,NYI,UNK,points,0.5,demon,63.8%,50.0%,+13.8%,0.27555555555555555,+27.6%,2.0,20%,fallback_assumption,0.89 PPG | Underdog (GS: 1.00x)
Valeri Nichushkin,COL,UNK,shots,1.5,goblin,90.1%,70.7%,+19.4%,0.27452687991255953,+27.5%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (64.9%), exponential increase for -1.0 line (decay rate: 0.72)"
Bo Horvat,NYI,UNK,shots,2.5,standard,73.2%,57.7%,+15.5%,0.26863821319089065,+26.9%,1.732,20%,fallback_assumption,3.5 SOG/G | Underdog (GS: 1.00x)
Artturi Lehkonen,COL,UNK,points,0.5,standard,72.4%,57.7%,+14.6%,0.2534267499999998,+25.3%,1.732,20%,fallback_assumption,1.00 PPG | Underdog (GS: 1.05x)
Anders Lee,NYI,UNK,shots,2.5,demon,62.1%,50.0%,+12.1%,0.24116998137219636,+24.1%,2.0,20%,fallback_assumption,3.0 SOG/G | Underdog (GS: 1.00x)
Nathan MacKinnon,COL,UNK,shots,2.5,goblin,87.7%,70.7%,+17.0%,0.24015924617353268,+24.0%,1.414,20%,fallback_assumption,4.5 SOG/G | Underdog (GS: 1.05x)
Troy Terry,ANA,UNK,points,0.5,goblin,87.1%,70.7%,+16.4%,0.2313583333333331,+23.1%,1.414,20%,fallback_assumption,1.11 PPG
Anders Lee,NYI,UNK,shots,1.5,goblin,86.2%,70.7%,+15.5%,0.2187599678196428,+21.9%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (62.1%), exponential increase for -1.0 line (decay rate: 0.72)"
John Carlson,WSH,UNK,shots,2.5,demon,59.4%,50.0%,+9.4%,0.18862146842403682,+18.9%,2.0,20%,fallback_assumption,2.6 SOG/G | Favorite (GS: 1.03x)
Pavel Dorofeyev,VGK,UNK,shots,3.5,demon,59.0%,50.0%,+9.0%,0.17937339412693332,+17.9%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (81.9%), exponential decay for +1.0 line (decay rate: 0.72)"
Tomas Hertl,VGK,UNK,shots,2.5,demon,58.7%,50.0%,+8.7%,0.1748963950027973,+17.5%,2.0,20%,fallback_assumption,2.3 SOG/G | Favorite (GS: 1.08x)
John Carlson,WSH,UNK,shots,1.5,goblin,82.5%,70.7%,+11.8%,0.1671602474663807,+16.7%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (59.4%), exponential increase for -1.0 line (decay rate: 0.72)"
