Parlay_ID,Legs,Leg_Number,Player,Prop_Type,Line,Team,Opponent,Parlay_Probability,Parlay_Payout,Parlay_EV
1,2,1,William Eklund,SHOTS,2.5,SJS,NJD,0.5794130222647427,3.99,1.3118579588363235
1,2,2,Justin Brazeau,POINTS,0.5,PIT,MIN,0.5794130222647427,3.99,1.3118579588363235
2,2,1,William Eklund,SHOTS,2.5,SJS,NJD,0.5692294218581522,3.99,1.2712253932140274
2,2,2,Shane Pinto,SHOTS,2.5,OTT,CGY,0.5692294218581522,3.99,1.2712253932140274
3,2,1,Justin Brazeau,POINTS,0.5,PIT,MIN,0.5669053819768846,3.99,1.2619524740877694
3,2,2,Shane Pinto,SHOTS,2.5,OTT,CGY,0.5669053819768846,3.99,1.2619524740877694
4,2,1,William Eklund,SHOTS,2.5,SJS,NJD,0.6390713219773008,3.5,1.2367496269205525
4,2,2,Bo Horvat,SHOTS,2.5,NYI,CAR,0.6390713219773008,3.5,1.2367496269205525
5,2,1,Justin Brazeau,POINTS,0.5,PIT,MIN,0.6364621328134634,3.5,1.227617464847122
5,2,2,Bo Horvat,SHOTS,2.5,NYI,CAR,0.6364621328134634,3.5,1.227617464847122
6,2,1,Bo Horvat,SHOTS,2.5,NYI,CAR,0.6252758532763474,3.5,1.1884654864672157
6,2,2,Shane Pinto,SHOTS,2.5,OTT,CGY,0.6252758532763474,3.5,1.1884654864672157
7,2,1,William Eklund,SHOTS,2.5,SJS,NJD,0.7246129826072955,3.0,1.1738389478218862
7,2,2,Drake Batherson,POINTS,0.5,OTT,CGY,0.7246129826072955,3.0,1.1738389478218862
8,2,1,Justin Brazeau,POINTS,0.5,PIT,MIN,0.7216545454545453,3.0,1.1649636363636358
8,2,2,Dylan Larkin,POINTS,0.5,DET,LAK,0.7216545454545453,3.0,1.1649636363636358
9,3,1,William Eklund,SHOTS,2.5,SJS,NJD,0.5504423711515055,5.67,2.1210082444290363
9,3,2,Justin Brazeau,POINTS,0.5,PIT,MIN,0.5504423711515055,5.67,2.1210082444290363
9,3,3,Jack Hughes,POINTS,0.5,NJD,SJS,0.5504423711515055,5.67,2.1210082444290363
10,3,1,William Eklund,SHOTS,2.5,SJS,NJD,0.5504423711515055,5.67,2.1210082444290363
10,3,2,Justin Brazeau,POINTS,0.5,PIT,MIN,0.5504423711515055,5.67,2.1210082444290363
10,3,3,Kirill Kaprizov,POINTS,0.5,MIN,PIT,0.5504423711515055,5.67,2.1210082444290363
11,3,1,William Eklund,SHOTS,2.5,SJS,NJD,0.5504423711515055,5.67,2.1210082444290363
11,3,2,Justin Brazeau,POINTS,0.5,PIT,MIN,0.5504423711515055,5.67,2.1210082444290363
11,3,3,Mark Scheifele,POINTS,0.5,WPG,CHI,0.5504423711515055,5.67,2.1210082444290363
12,3,1,William Eklund,SHOTS,2.5,SJS,NJD,0.5504423711515055,5.67,2.1210082444290363
12,3,2,Justin Brazeau,POINTS,0.5,PIT,MIN,0.5504423711515055,5.67,2.1210082444290363
12,3,3,Drake Batherson,POINTS,0.5,OTT,CGY,0.5504423711515055,5.67,2.1210082444290363
13,4,1,William Eklund,SHOTS,2.5,SJS,NJD,0.4611887243745644,11.25,4.18837314921385
13,4,2,Justin Brazeau,POINTS,0.5,PIT,MIN,0.4611887243745644,11.25,4.18837314921385
13,4,3,Bo Horvat,SHOTS,2.5,NYI,CAR,0.4611887243745644,11.25,4.18837314921385
13,4,4,Dylan Larkin,POINTS,0.5,DET,LAK,0.4611887243745644,11.25,4.18837314921385
14,4,1,William Eklund,SHOTS,2.5,SJS,NJD,0.4611887243745644,11.25,4.18837314921385
14,4,2,Justin Brazeau,POINTS,0.5,PIT,MIN,0.4611887243745644,11.25,4.18837314921385
14,4,3,Bo Horvat,SHOTS,2.5,NYI,CAR,0.4611887243745644,11.25,4.18837314921385
14,4,4,Jack Hughes,POINTS,0.5,NJD,SJS,0.4611887243745644,11.25,4.18837314921385
