Player,Team,Opponent,Prop Type,Line,Probability (%),Expected Value,Confidence Tier,Model,Reasoning
Shayne Gostisbehere,CAR,BOS,POINTS,0.5,95.0,1.66,T1-ELITE,Statistical,"Points model: 1.66 PPG (std=0.50, confidence=95%) | Distance: +1.16 from 0.5 line | Favorite (GS: 1.13x)"
David Pastrnak,BOS,CAR,POINTS,0.5,95.0,1.66,T1-ELITE,Statistical,"Points model: 1.66 PPG (std=0.50, confidence=95%) | Distance: +1.16 from 0.5 line | Underdog (GS: 1.10x)"
Drake Batherson,OTT,MTL,POINTS,0.5,95.0,1.58,T1-ELITE,Statistical,"Points model: 1.58 PPG (std=0.47, confidence=95%) | Distance: +1.08 from 0.5 line"
Nick Suzuki,MTL,OTT,POINTS,0.5,95.0,1.76,T1-ELITE,Statistical,"Points model: 1.76 PPG (std=0.53, confidence=95%) | Distance: +1.26 from 0.5 line"
William Nylander,TOR,PHI,POINTS,0.5,95.0,1.80,T1-ELITE,Statistical,"Points model: 1.80 PPG (std=0.54, confidence=95%) | Distance: +1.30 from 0.5 line | Favorite (GS: 1.08x)"
Nathan MacKinnon,COL,SJS,POINTS,0.5,95.0,1.78,T1-ELITE,Statistical,"Points model: 1.78 PPG (std=0.53, confidence=95%) | Distance: +1.28 from 0.5 line | Favorite (GS: 1.13x)"
Cale Makar,COL,SJS,POINTS,0.5,95.0,1.68,T1-ELITE,Statistical,"Points model: 1.68 PPG (std=0.50, confidence=95%) | Distance: +1.18 from 0.5 line | Favorite (GS: 1.13x)"
Martin Necas,COL,SJS,POINTS,0.5,95.0,1.58,T1-ELITE,Statistical,"Points model: 1.58 PPG (std=0.47, confidence=95%) | Distance: +1.08 from 0.5 line | Favorite (GS: 1.13x)"
Macklin Celebrini,SJS,COL,POINTS,0.5,95.0,1.96,T1-ELITE,Statistical,"Points model: 1.96 PPG (std=0.59, confidence=95%) | Distance: +1.46 from 0.5 line | Underdog (GS: 1.10x)"
Mark Scheifele,WPG,PIT,POINTS,0.5,95.0,1.95,T1-ELITE,Statistical,"Points model: 1.95 PPG (std=0.59, confidence=95%) | Distance: +1.45 from 0.5 line | Favorite (GS: 1.08x)"
Kyle Connor,WPG,PIT,POINTS,0.5,95.0,1.63,T1-ELITE,Statistical,"Points model: 1.63 PPG (std=0.49, confidence=95%) | Distance: +1.13 from 0.5 line | Favorite (GS: 1.08x)"
Evgeni Malkin,PIT,WPG,POINTS,0.5,94.2,1.48,T1-ELITE,Statistical,"Points model: 1.48 PPG (std=0.45, confidence=94%) | Distance: +0.98 from 0.5 line | Underdog (GS: 1.05x)"
Kirill Kaprizov,MIN,VAN,POINTS,0.5,92.1,1.44,T1-ELITE,Statistical,"Points model: 1.44 PPG (std=0.43, confidence=92%) | Distance: +0.94 from 0.5 line | Favorite (GS: 1.03x)"
Cole Caufield,MTL,OTT,POINTS,0.5,91.4,1.43,T1-ELITE,Statistical,"Points model: 1.43 PPG (std=0.43, confidence=91%) | Distance: +0.93 from 0.5 line"
Adrian Kempe,LAK,NJD,POINTS,0.5,90.9,1.42,T1-ELITE,Statistical,"Points model: 1.42 PPG (std=0.43, confidence=91%) | Distance: +0.92 from 0.5 line"
Jack Hughes,NJD,LAK,POINTS,0.5,90.0,1.40,T1-ELITE,Statistical,"Points model: 1.40 PPG (std=0.42, confidence=90%) | Distance: +0.90 from 0.5 line"
Kirill Marchenko,CBJ,STL,SHOTS,2.5,89.9,5.10,T1-ELITE,Statistical,"Shots model: 5.1 SOG (std=2.0, confidence=90%) | Distance: +2.6 from 2.5 line | Favorite (GS: 1.13x)"
Nathan MacKinnon,COL,SJS,SHOTS,2.5,89.6,5.03,T1-ELITE,Statistical,"Shots model: 5.0 SOG (std=2.0, confidence=90%) | Distance: +2.5 from 2.5 line | Favorite (GS: 1.13x)"
Trevor Zegras,PHI,TOR,POINTS,0.5,89.5,1.39,T1-ELITE,Statistical,"Points model: 1.39 PPG (std=0.42, confidence=89%) | Distance: +0.89 from 0.5 line | Underdog (GS: 1.05x)"
Thatcher Demko,VAN,MIN,GOALIE_SAVES,21.5,89.3,28.91,T1-ELITE,Statistical,"Saves model: 28.9 saves (SV%=0.926, std=4.0, confidence=85%) | Distance: +7.4 saves from 21.5 line"
Tage Thompson,BUF,WSH,SHOTS,2.5,89.0,4.92,T1-ELITE,Statistical,"Shots model: 4.9 SOG (std=2.0, confidence=89%) | Distance: +2.4 from 2.5 line | Favorite (GS: 1.03x)"
John Tavares,TOR,PHI,POINTS,0.5,88.7,1.37,T1-ELITE,Statistical,"Points model: 1.37 PPG (std=0.41, confidence=89%) | Distance: +0.87 from 0.5 line | Favorite (GS: 1.08x)"
Matthew Knies,TOR,PHI,POINTS,0.5,88.7,1.37,T1-ELITE,Statistical,"Points model: 1.37 PPG (std=0.41, confidence=89%) | Distance: +0.87 from 0.5 line | Favorite (GS: 1.08x)"
Zach Werenski,CBJ,STL,SHOTS,2.5,88.0,4.71,T1-ELITE,Statistical,"Shots model: 4.7 SOG (std=1.9, confidence=88%) | Distance: +2.2 from 2.5 line | Favorite (GS: 1.13x)"
Auston Matthews,TOR,PHI,SHOTS,2.5,86.7,4.51,T1-ELITE,Statistical,"Shots model: 4.5 SOG (std=1.8, confidence=87%) | Distance: +2.0 from 2.5 line | Favorite (GS: 1.08x)"
Leon Draisaitl,EDM,CHI,POINTS,0.5,86.2,1.32,T1-ELITE,Statistical,"Points model: 1.32 PPG (std=0.40, confidence=86%) | Distance: +0.82 from 0.5 line"
Connor McDavid,EDM,CHI,POINTS,0.5,86.2,1.32,T1-ELITE,Statistical,"Points model: 1.32 PPG (std=0.40, confidence=86%) | Distance: +0.82 from 0.5 line"
