Parlay_ID,Legs,Leg_Number,Player,Prop_Type,Line,Odds_Type,Team,Opponent,Combined_Probability,Min_Payout_10pct_EV,Min_Payout_5pct_EV,Min_Payout_Breakeven,Estimated_Payout,Estimated_EV,Actual_Payout,Action
1,2,1,Dylan Larkin,POINTS,1.5,DEMON,DET,UNK,72.2%,1.52x,1.45x,1.38x,4.0x,+188.3%,,
1,2,2,Jack Hughes,POINTS,1.5,DEMON,NJ,UNK,72.2%,1.52x,1.45x,1.38x,4.0x,+188.3%,,
2,2,1,Dylan Larkin,POINTS,1.5,DEMON,DET,UNK,72.2%,1.52x,1.45x,1.38x,4.0x,+188.3%,,
2,2,2,Macklin Celebrini,POINTS,1.5,DEMON,SJ,UNK,72.2%,1.52x,1.45x,1.38x,4.0x,+188.3%,,
3,2,1,Jack Hughes,POINTS,1.5,DEMON,NJ,UNK,72.2%,1.52x,1.45x,1.38x,4.0x,+188.3%,,
3,2,2,Macklin Celebrini,POINTS,1.5,DEMON,SJ,UNK,72.2%,1.52x,1.45x,1.38x,4.0x,+188.3%,,
4,2,1,Macklin Celebrini,POINTS,1.5,DEMON,SJ,UNK,69.8%,1.58x,1.50x,1.43x,4.0x,+178.7%,,
4,2,2,Adrian Kempe,POINTS,1.5,DEMON,LA,UNK,69.8%,1.58x,1.50x,1.43x,4.0x,+178.7%,,
5,2,1,Jack Hughes,POINTS,1.5,DEMON,NJ,UNK,69.8%,1.58x,1.50x,1.43x,4.0x,+178.7%,,
5,2,2,Adrian Kempe,POINTS,1.5,DEMON,LA,UNK,69.8%,1.58x,1.50x,1.43x,4.0x,+178.7%,,
6,2,1,Dylan Larkin,POINTS,1.5,DEMON,DET,UNK,69.8%,1.58x,1.50x,1.43x,4.0x,+178.7%,,
6,2,2,Adrian Kempe,POINTS,1.5,DEMON,LA,UNK,69.8%,1.58x,1.50x,1.43x,4.0x,+178.7%,,
7,2,1,Dylan Larkin,POINTS,1.5,DEMON,DET,UNK,64.8%,1.70x,1.62x,1.54x,4.0x,+158.7%,,
7,2,2,William Eklund,SHOTS,2.5,DEMON,SJ,UNK,64.8%,1.70x,1.62x,1.54x,4.0x,+158.7%,,
8,2,1,Jack Hughes,POINTS,1.5,DEMON,NJ,UNK,64.8%,1.70x,1.62x,1.54x,4.0x,+158.7%,,
8,2,2,William Eklund,SHOTS,2.5,DEMON,SJ,UNK,64.8%,1.70x,1.62x,1.54x,4.0x,+158.7%,,
9,3,1,Dylan Larkin,POINTS,1.5,DEMON,DET,UNK,61.4%,1.79x,1.71x,1.63x,7.0x,+329.9%,,
9,3,2,Jack Hughes,POINTS,1.5,DEMON,NJ,UNK,61.4%,1.79x,1.71x,1.63x,7.0x,+329.9%,,
9,3,3,Macklin Celebrini,POINTS,1.5,DEMON,SJ,UNK,61.4%,1.79x,1.71x,1.63x,7.0x,+329.9%,,
10,3,1,Dylan Larkin,POINTS,1.5,DEMON,DET,UNK,59.4%,1.85x,1.77x,1.68x,7.0x,+315.5%,,
10,3,2,Macklin Celebrini,POINTS,1.5,DEMON,SJ,UNK,59.4%,1.85x,1.77x,1.68x,7.0x,+315.5%,,
10,3,3,Adrian Kempe,POINTS,1.5,DEMON,LA,UNK,59.4%,1.85x,1.77x,1.68x,7.0x,+315.5%,,
11,3,1,Dylan Larkin,POINTS,1.5,DEMON,DET,UNK,59.4%,1.85x,1.77x,1.68x,7.0x,+315.5%,,
11,3,2,Jack Hughes,POINTS,1.5,DEMON,NJ,UNK,59.4%,1.85x,1.77x,1.68x,7.0x,+315.5%,,
11,3,3,Adrian Kempe,POINTS,1.5,DEMON,LA,UNK,59.4%,1.85x,1.77x,1.68x,7.0x,+315.5%,,
12,3,1,Dylan Larkin,POINTS,1.5,DEMON,DET,UNK,68.6%,1.60x,1.53x,1.46x,5.7x,+289.2%,,
12,3,2,Macklin Celebrini,POINTS,1.5,DEMON,SJ,UNK,68.6%,1.60x,1.53x,1.46x,5.7x,+289.2%,,
12,3,3,Jack Hughes,POINTS,0.5,GOBLIN,NJ,UNK,68.6%,1.60x,1.53x,1.46x,5.7x,+289.2%,,
13,4,1,Dylan Larkin,POINTS,1.5,DEMON,DET,UNK,50.5%,2.18x,2.08x,1.98x,15.0x,+656.9%,,
13,4,2,Jack Hughes,POINTS,1.5,DEMON,NJ,UNK,50.5%,2.18x,2.08x,1.98x,15.0x,+656.9%,,
13,4,3,Macklin Celebrini,POINTS,1.5,DEMON,SJ,UNK,50.5%,2.18x,2.08x,1.98x,15.0x,+656.9%,,
13,4,4,Adrian Kempe,POINTS,1.5,DEMON,LA,UNK,50.5%,2.18x,2.08x,1.98x,15.0x,+656.9%,,
14,4,1,Dylan Larkin,POINTS,1.5,DEMON,DET,UNK,56.6%,1.94x,1.86x,1.77x,12.5x,+607.5%,,
14,4,2,Jack Hughes,POINTS,1.5,DEMON,NJ,UNK,56.6%,1.94x,1.86x,1.77x,12.5x,+607.5%,,
14,4,3,Macklin Celebrini,POINTS,1.5,DEMON,SJ,UNK,56.6%,1.94x,1.86x,1.77x,12.5x,+607.5%,,
14,4,4,Adrian Kempe,POINTS,0.5,GOBLIN,LA,UNK,56.6%,1.94x,1.86x,1.77x,12.5x,+607.5%,,
