Parlay_ID,Legs,Leg_Number,Player,Prop_Type,Line,Odds_Type,Team,Opponent,Combined_Probability,Min_Payout_10pct_EV,Min_Payout_5pct_EV,Min_Payout_Breakeven,Estimated_Payout,Estimated_EV,Actual_Payout,Action
1,2,1,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,88.2%,1.25x,1.19x,1.13x,2.0x,+77.3%,,
1,2,2,Leo Carlsson,POINTS,0.5,GOBLIN,ANA,UNK,88.2%,1.25x,1.19x,1.13x,2.0x,+77.3%,,
2,2,1,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,88.2%,1.25x,1.19x,1.13x,2.0x,+77.3%,,
2,2,2,Macklin Celebrini,POINTS,0.5,GOBLIN,SJ,UNK,88.2%,1.25x,1.19x,1.13x,2.0x,+77.3%,,
3,2,1,Dmitry Orlov,POINTS,0.5,DEMON,SJ,UNK,58.4%,1.88x,1.80x,1.71x,3.0x,+75.3%,,
3,2,2,Leo Carlsson,POINTS,0.5,GOBLIN,ANA,UNK,58.4%,1.88x,1.80x,1.71x,3.0x,+75.3%,,
4,2,1,Charlie Coyle,POINTS,0.5,DEMON,CBJ,UNK,58.0%,1.90x,1.81x,1.72x,3.0x,+74.1%,,
4,2,2,Macklin Celebrini,POINTS,0.5,GOBLIN,SJ,UNK,58.0%,1.90x,1.81x,1.72x,3.0x,+74.1%,,
5,2,1,Cutter Gauthier,SHOTS,2.5,GOBLIN,ANA,UNK,86.3%,1.27x,1.22x,1.16x,2.0x,+73.5%,,
5,2,2,Macklin Celebrini,POINTS,0.5,GOBLIN,SJ,UNK,86.3%,1.27x,1.22x,1.16x,2.0x,+73.5%,,
6,2,1,Charlie Coyle,POINTS,0.5,DEMON,CBJ,UNK,58.0%,1.90x,1.81x,1.72x,3.0x,+74.1%,,
6,2,2,Leo Carlsson,POINTS,0.5,GOBLIN,ANA,UNK,58.0%,1.90x,1.81x,1.72x,3.0x,+74.1%,,
7,2,1,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,85.6%,1.29x,1.23x,1.17x,2.0x,+72.0%,,
7,2,2,Kirill Marchenko,SHOTS,1.5,GOBLIN,CBJ,UNK,85.6%,1.29x,1.23x,1.17x,2.0x,+72.0%,,
8,2,1,Anders Lee,POINTS,0.5,DEMON,NYI,UNK,57.5%,1.91x,1.83x,1.74x,3.0x,+72.6%,,
8,2,2,Leo Carlsson,POINTS,0.5,GOBLIN,ANA,UNK,57.5%,1.91x,1.83x,1.74x,3.0x,+72.6%,,
9,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,66.5%,1.65x,1.58x,1.50x,3.0x,+99.6%,,
9,3,2,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,66.5%,1.65x,1.58x,1.50x,3.0x,+99.6%,,
9,3,3,Macklin Celebrini,POINTS,0.5,GOBLIN,SJ,UNK,66.5%,1.65x,1.58x,1.50x,3.0x,+99.6%,,
10,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,66.5%,1.65x,1.58x,1.50x,3.0x,+99.6%,,
10,3,2,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,66.5%,1.65x,1.58x,1.50x,3.0x,+99.6%,,
10,3,3,Leo Carlsson,POINTS,0.5,GOBLIN,ANA,UNK,66.5%,1.65x,1.58x,1.50x,3.0x,+99.6%,,
11,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,65.1%,1.69x,1.61x,1.54x,3.0x,+95.3%,,
11,3,2,Cutter Gauthier,SHOTS,2.5,GOBLIN,ANA,UNK,65.1%,1.69x,1.61x,1.54x,3.0x,+95.3%,,
11,3,3,Macklin Celebrini,POINTS,0.5,GOBLIN,SJ,UNK,65.1%,1.69x,1.61x,1.54x,3.0x,+95.3%,,
12,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,64.4%,1.71x,1.63x,1.55x,3.0x,+93.1%,,
12,3,2,Anders Lee,SHOTS,1.5,GOBLIN,NYI,UNK,64.4%,1.71x,1.63x,1.55x,3.0x,+93.1%,,
12,3,3,Macklin Celebrini,POINTS,0.5,GOBLIN,SJ,UNK,64.4%,1.71x,1.63x,1.55x,3.0x,+93.1%,,
13,4,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,39.4%,2.79x,2.66x,2.54x,7.5x,+195.6%,,
13,4,2,Anders Lee,POINTS,0.5,DEMON,NYI,UNK,39.4%,2.79x,2.66x,2.54x,7.5x,+195.6%,,
13,4,3,Cutter Gauthier,SHOTS,2.5,GOBLIN,ANA,UNK,39.4%,2.79x,2.66x,2.54x,7.5x,+195.6%,,
13,4,4,Macklin Celebrini,POINTS,0.5,GOBLIN,SJ,UNK,39.4%,2.79x,2.66x,2.54x,7.5x,+195.6%,,
14,4,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,38.2%,2.88x,2.75x,2.62x,7.5x,+186.7%,,
14,4,2,Anders Lee,POINTS,0.5,DEMON,NYI,UNK,38.2%,2.88x,2.75x,2.62x,7.5x,+186.7%,,
14,4,3,Cutter Gauthier,SHOTS,2.5,GOBLIN,ANA,UNK,38.2%,2.88x,2.75x,2.62x,7.5x,+186.7%,,
14,4,4,Kirill Marchenko,SHOTS,1.5,GOBLIN,CBJ,UNK,38.2%,2.88x,2.75x,2.62x,7.5x,+186.7%,,
