Parlay_ID,Legs,Leg_Number,Player,Prop_Type,Line,Odds_Type,Team,Opponent,Combined_Probability,Min_Payout_10pct_EV,Min_Payout_5pct_EV,Min_Payout_Breakeven,Estimated_Payout,Estimated_EV,Actual_Payout,Action
1,2,1,Anders Lee,POINTS,0.5,DEMON,NYI,UNK,60.6%,1.82x,1.73x,1.65x,3.0x,+81.8%,,
1,2,2,Dylan Larkin,POINTS,0.5,GOBLIN,DET,UNK,60.6%,1.82x,1.73x,1.65x,3.0x,+81.8%,,
2,2,1,Cutter Gauthier,SHOTS,2.5,GOBLIN,ANA,UNK,60.3%,1.82x,1.74x,1.66x,3.0x,+80.9%,,
2,2,2,Emmitt Finnie,POINTS,0.5,DEMON,DET,UNK,60.3%,1.82x,1.74x,1.66x,3.0x,+80.9%,,
3,2,1,Anders Lee,POINTS,0.5,DEMON,NYI,UNK,60.6%,1.82x,1.73x,1.65x,3.0x,+81.8%,,
3,2,2,Jack Eichel,POINTS,0.5,GOBLIN,VGK,UNK,60.6%,1.82x,1.73x,1.65x,3.0x,+81.8%,,
4,2,1,Anders Lee,POINTS,0.5,DEMON,NYI,UNK,60.6%,1.82x,1.73x,1.65x,3.0x,+81.8%,,
4,2,2,Nathan MacKinnon,POINTS,0.5,GOBLIN,COL,UNK,60.6%,1.82x,1.73x,1.65x,3.0x,+81.8%,,
5,2,1,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,59.4%,1.85x,1.77x,1.68x,3.0x,+78.3%,,
5,2,2,Emmitt Finnie,POINTS,0.5,DEMON,DET,UNK,59.4%,1.85x,1.77x,1.68x,3.0x,+78.3%,,
6,2,1,Anders Lee,POINTS,0.5,DEMON,NYI,UNK,59.9%,1.84x,1.75x,1.67x,3.0x,+79.7%,,
6,2,2,Pavel Dorofeyev,SHOTS,1.5,GOBLIN,VGK,UNK,59.9%,1.84x,1.75x,1.67x,3.0x,+79.7%,,
7,2,1,Cale Makar,POINTS,0.5,GOBLIN,COL,UNK,59.4%,1.85x,1.77x,1.68x,3.0x,+78.1%,,
7,2,2,Emmitt Finnie,POINTS,0.5,DEMON,DET,UNK,59.4%,1.85x,1.77x,1.68x,3.0x,+78.1%,,
8,2,1,Anders Lee,POINTS,0.5,DEMON,NYI,UNK,59.8%,1.84x,1.76x,1.67x,3.0x,+79.5%,,
8,2,2,Leo Carlsson,POINTS,0.5,GOBLIN,ANA,UNK,59.8%,1.84x,1.76x,1.67x,3.0x,+79.5%,,
9,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,69.2%,1.59x,1.52x,1.45x,3.0x,+107.6%,,
9,3,2,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,69.2%,1.59x,1.52x,1.45x,3.0x,+107.6%,,
9,3,3,Jack Eichel,POINTS,0.5,GOBLIN,VGK,UNK,69.2%,1.59x,1.52x,1.45x,3.0x,+107.6%,,
10,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,69.2%,1.59x,1.52x,1.45x,3.0x,+107.6%,,
10,3,2,Bo Horvat,SHOTS,1.5,GOBLIN,NYI,UNK,69.2%,1.59x,1.52x,1.45x,3.0x,+107.6%,,
10,3,3,Nathan MacKinnon,POINTS,0.5,GOBLIN,COL,UNK,69.2%,1.59x,1.52x,1.45x,3.0x,+107.6%,,
11,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,48.2%,2.28x,2.18x,2.07x,4.3x,+108.8%,,
11,3,2,Anders Lee,POINTS,0.5,DEMON,NYI,UNK,48.2%,2.28x,2.18x,2.07x,4.3x,+108.8%,,
11,3,3,Nathan MacKinnon,POINTS,0.5,GOBLIN,COL,UNK,48.2%,2.28x,2.18x,2.07x,4.3x,+108.8%,,
12,3,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,48.2%,2.28x,2.18x,2.07x,4.3x,+108.8%,,
12,3,2,Anders Lee,POINTS,0.5,DEMON,NYI,UNK,48.2%,2.28x,2.18x,2.07x,4.3x,+108.8%,,
12,3,3,Jack Eichel,POINTS,0.5,GOBLIN,VGK,UNK,48.2%,2.28x,2.18x,2.07x,4.3x,+108.8%,,
13,4,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,41.8%,2.63x,2.51x,2.39x,7.5x,+213.6%,,
13,4,2,Aliaksei Protas,SHOTS,1.5,GOBLIN,WSH,UNK,41.8%,2.63x,2.51x,2.39x,7.5x,+213.6%,,
13,4,3,Anders Lee,POINTS,0.5,DEMON,NYI,UNK,41.8%,2.63x,2.51x,2.39x,7.5x,+213.6%,,
13,4,4,Jack Eichel,POINTS,0.5,GOBLIN,VGK,UNK,41.8%,2.63x,2.51x,2.39x,7.5x,+213.6%,,
14,4,1,Alex DeBrincat,POINTS,0.5,GOBLIN,DET,UNK,41.8%,2.63x,2.51x,2.39x,7.5x,+213.6%,,
14,4,2,Aliaksei Protas,SHOTS,1.5,GOBLIN,WSH,UNK,41.8%,2.63x,2.51x,2.39x,7.5x,+213.6%,,
14,4,3,Anders Lee,POINTS,0.5,DEMON,NYI,UNK,41.8%,2.63x,2.51x,2.39x,7.5x,+213.6%,,
14,4,4,Nathan MacKinnon,POINTS,0.5,GOBLIN,COL,UNK,41.8%,2.63x,2.51x,2.39x,7.5x,+213.6%,,
