Player,Team,Opponent,Prop Type,Line,Probability (%),Expected Value,Confidence Tier,Model,Reasoning
Kyle Connor,WPG,CHI,POINTS,0.5,0.8,1.26,T1-ELITE,Statistical,1.20 PPG
Jake Guentzel,TBL,DAL,SHOTS,2.5,0.8,3.97,T1-ELITE,Statistical,3.5 SOG/G
Matt Boldy,MIN,PIT,POINTS,0.5,0.8,1.24,T1-ELITE,Statistical,1.09 PPG
Tim Stützle,OTT,CGY,POINTS,0.5,0.8,1.24,T1-ELITE,Statistical,1.09 PPG
Mikko Rantanen,DAL,TBL,POINTS,0.5,0.8,1.23,T1-ELITE,Statistical,1.20 PPG
Kyle Connor,WPG,CHI,SHOTS,2.5,0.8,3.89,T1-ELITE,Statistical,3.7 SOG/G
David Pastrnak,BOS,BUF,SHOTS,2.5,0.8,3.87,T1-ELITE,Statistical,3.4 SOG/G
Kirill Kaprizov,MIN,PIT,SHOTS,2.5,0.8,3.81,T1-ELITE,Statistical,3.4 SOG/G
William Eklund,SJS,NJD,POINTS,0.5,0.8,1.21,T1-ELITE,Statistical,1.00 PPG
Alex DeBrincat,DET,LAK,SHOTS,2.5,0.8,3.80,T1-ELITE,Statistical,3.7 SOG/G
Roope Hintz,DAL,TBL,SHOTS,2.5,0.8,3.59,T1-ELITE,Statistical,3.5 SOG/G
Connor Bedard,CHI,WPG,POINTS,0.5,0.8,1.14,T1-ELITE,Statistical,1.20 PPG
Marco Rossi,MIN,PIT,POINTS,0.5,0.8,1.13,T1-ELITE,Statistical,1.00 PPG
Jake Guentzel,TBL,DAL,POINTS,0.5,0.8,1.13,T1-ELITE,Statistical,1.00 PPG
William Eklund,SJS,NJD,SHOTS,2.5,0.8,3.50,T1-ELITE,Statistical,2.9 SOG/G
Justin Brazeau,PIT,MIN,POINTS,0.5,0.8,1.12,T1-ELITE,Statistical,1.09 PPG
Adrian Kempe,LAK,DET,SHOTS,2.5,0.7,3.40,T1-ELITE,Statistical,3.0 SOG/G
Shane Pinto,OTT,CGY,SHOTS,2.5,0.7,3.40,T1-ELITE,Statistical,3.0 SOG/G
Nico Hischier,NJD,SJS,POINTS,0.5,0.7,1.09,T1-ELITE,Statistical,1.00 PPG
Will Smith,SJS,NJD,POINTS,0.5,0.7,1.09,T1-ELITE,Statistical,0.90 PPG
Macklin Celebrini,SJS,NJD,SHOTS,2.5,0.7,3.38,T1-ELITE,Statistical,2.8 SOG/G
Kevin Fiala,LAK,DET,SHOTS,2.5,0.7,3.30,T1-ELITE,Statistical,2.9 SOG/G
Tim Stützle,OTT,CGY,SHOTS,2.5,0.7,3.30,T1-ELITE,Statistical,2.9 SOG/G
Anders Lee,NYI,CAR,SHOTS,2.5,0.7,3.28,T1-ELITE,Statistical,3.0 SOG/G
Frank Nazar,CHI,WPG,POINTS,0.5,0.7,1.04,T1-ELITE,Statistical,1.10 PPG
Nikita Kucherov,TBL,DAL,SHOTS,2.5,0.7,3.26,T1-ELITE,Statistical,2.9 SOG/G
Dylan Cozens,OTT,CGY,POINTS,0.5,0.7,1.03,T1-ELITE,Statistical,0.91 PPG
Shane Pinto,OTT,CGY,POINTS,0.5,0.7,1.03,T1-ELITE,Statistical,0.91 PPG
Jake Sanderson,OTT,CGY,POINTS,0.5,0.7,1.03,T1-ELITE,Statistical,0.91 PPG
Alex DeBrincat,DET,LAK,POINTS,0.5,0.7,1.03,T1-ELITE,Statistical,1.00 PPG
Lucas Raymond,DET,LAK,POINTS,0.5,0.7,1.03,T1-ELITE,Statistical,1.00 PPG
Conor Garland,VAN,STL,POINTS,0.5,0.7,1.03,T1-ELITE,Statistical,1.00 PPG
Wyatt Johnston,DAL,TBL,POINTS,0.5,0.7,1.03,T1-ELITE,Statistical,1.00 PPG
Roope Hintz,DAL,TBL,POINTS,0.5,0.7,1.03,T1-ELITE,Statistical,1.00 PPG
Anthony Cirelli,TBL,DAL,POINTS,0.5,0.7,1.02,T1-ELITE,Statistical,0.90 PPG
Wyatt Johnston,DAL,TBL,SHOTS,2.5,0.7,3.18,T1-ELITE,Statistical,3.1 SOG/G
