Player,Team,Opponent,Prop Type,Line,Probability (%),Expected Value,Confidence Tier,Model,Reasoning
Shayne Gostisbehere,CAR,NYI,POINTS,0.5,0.9,1.69,T1-ELITE,Statistical,1.40 PPG
Dylan Larkin,DET,LAK,POINTS,0.5,0.9,1.64,T1-ELITE,Statistical,1.60 PPG
Kirill Kaprizov,MIN,PIT,POINTS,0.5,0.9,1.55,T1-ELITE,Statistical,1.36 PPG
Drake Batherson,OTT,CGY,POINTS,0.5,0.9,1.70,T1-ELITE,Statistical,1.50 PPG
Jack Hughes,NJD,SJS,POINTS,0.5,0.9,1.53,T1-ELITE,Statistical,1.40 PPG
Macklin Celebrini,SJS,NJD,POINTS,0.5,0.9,1.93,T1-ELITE,Statistical,1.60 PPG
Mark Scheifele,WPG,CHI,POINTS,0.5,0.9,1.58,T1-ELITE,Statistical,1.50 PPG
Evgeni Malkin,PIT,MIN,POINTS,0.5,0.9,1.49,T1-ELITE,Statistical,1.45 PPG
Sebastian Aho,CAR,NYI,POINTS,0.5,0.9,1.48,T1-ELITE,Statistical,1.22 PPG
Seth Jarvis,CAR,NYI,POINTS,0.5,0.9,1.48,T1-ELITE,Statistical,1.22 PPG
Adrian Kempe,LAK,DET,POINTS,0.5,0.9,1.44,T1-ELITE,Statistical,1.27 PPG
David Pastrnak,BOS,BUF,POINTS,0.5,0.9,1.42,T1-ELITE,Statistical,1.25 PPG
Nikita Kucherov,TBL,DAL,POINTS,0.5,0.9,1.42,T1-ELITE,Statistical,1.25 PPG
Sidney Crosby,PIT,MIN,POINTS,0.5,0.9,1.40,T1-ELITE,Statistical,1.36 PPG
Bo Horvat,NYI,CAR,POINTS,0.5,0.9,1.34,T1-ELITE,Statistical,1.22 PPG
Seth Jarvis,CAR,NYI,SHOTS,2.5,0.9,4.43,T1-ELITE,Statistical,3.7 SOG/G
Tage Thompson,BUF,BOS,SHOTS,2.5,0.9,4.41,T1-ELITE,Statistical,4.3 SOG/G
Jesper Bratt,NJD,SJS,POINTS,0.5,0.9,1.31,T1-ELITE,Statistical,1.20 PPG
Matt Boldy,MIN,PIT,SHOTS,2.5,0.9,4.33,T1-ELITE,Statistical,3.8 SOG/G
Jason Robertson,DAL,TBL,SHOTS,2.5,0.8,4.21,T1-ELITE,Statistical,4.1 SOG/G
Jack Hughes,NJD,SJS,SHOTS,2.5,0.8,4.15,T1-ELITE,Statistical,3.8 SOG/G
Bo Horvat,NYI,CAR,SHOTS,2.5,0.8,4.13,T1-ELITE,Statistical,3.8 SOG/G
